//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	PkDropItem	DeathGate   	Comment
0         *       12          100              100            1000              0                 0                1              0             1            	1		1		1		17		"Lorencia"
1         *       12          100              100            1000              0                 0                1              0             1            	0		1		1		17		"Dungeon"
37        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		138		"Kanturu 1"
38        *       12          100              100            1000              0                 0                1              0           	1            	0		1		1		139		"Kanturu 2"
39        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		137		"Kanturu 3"
40        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		402		"Silent"
41        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		256		"Barracks"
42        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		256		"Refuge"
45        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 1"
46        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 2"
47        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 3"
48        *       12          100              100            1000              0                 0                1              0           	0            	0		0		0		17		"Illusion Temple 4"
49        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 5"
50        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 6"
51        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		267		"Elbeland"
52        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 8"
53        *       10          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 7"
56        *       12          100              100            1000              0                 0                1              0           	1            	0		1		1		273		"Swamp of Calmness"
57        *       12          100              100            1000              0                 1                1              0            	1            	0		1		1		286		"Raklion 1"
58        *       12          100              100            1000              0                 1                1              0            	1            	0		1		1		286		"Raklion 2"
62        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		22		"Santa Town"
63        *       12          100              100            1000              0                 0                1              1            	1            	0		1		1		294		"Vulcanus"
64        *       12          100              100            1000              0                 0                0              0            	0            	0		0		0		294		"Duel Arena"
65        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 1"
66        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 2"
67        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 3"
68        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 4"
69        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 1"
70        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 2"
71        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 3"
72        *       12          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 4"
79        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		333		"Loren Market"
80        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		335		"Karutan 1"
81        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		335		"Karutan 2"
end
