//Index   Message
381       "Balgass está chegando! Protejam a estátua do lobo sagrado"
382       "A armada de Balgass começou a atacar a estátua do lobo sagrado"
383       "A armada de Balgass foi derrotada com a ajuda dos heróis"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass foi morto por %s!"
387       "Balgass foi morto!"
388       "A Dark Elf %d foi morta por %s!"
389       "MvP Point: %d"
390       "Conectado ao altar %d"
391       "%s conectou-se ao altar %d"
392       "O altar %d foi conectado"
393       "O período de conexão ao pedestal %d não começou ainda"
394       "O altar %d já foi conectado mais de 2 vezes"
395       "A posição para conectar-se ao altar %d está errada" 
396       "%s está tentando conectar-se ao altar %d"
397       "Você será conectado ao altar em 5 segundo(s)" 
398       "Não se mova até a conexão estar completa"  
399       "A conexão com o altar %d foi cancelada"
400       "A barreira da estátua do lobo sagrado desapareceu" 
401       "Número de conexões: %d, Vida da estátua: %d" 
402       "A barreira da estátua do lobo sagrado foi criada"
403       "A conexão requer uma Elfa level 260 ou superior"
416       "O Castle Siege terminou"
417       "O período de registro do Castle Siege começou"
418       "O período de registro de emblemas do Castle Siege começou"
419       "O período de seleção das guildas do Castle Siege começou"		
420       "A seleção das guildas do Castle Siege foi concluída"
421       "O período de preparação para o Castle Siege começou"
422       "O Castle Siege irá começar em %d minuto(s)"
423       "O Castle Siege está sendo disputado"
424       "A guilda %s foi bem sucedia em defender o castelo"
425       "A guilda %s se tornou a nova dona do castelo"
426       "O dono do castelo não foi definido"
427       "Somente a Estátua do Guardião restou"
432       "A posição do jogador %s foi alterada para Assistente do Líder da Guilda"
433       "A posição do jogador %s foi alterada para Mestre de Batalha"
434       "A posição do jogador %s foi alterada para Membro da Guilda"
435       "O tipo da guilda %s foi alterado para %d"
436       "A guilda entrou na aliança %s"
437       "A guilda agora é inimiga da guilda %s"
438       "A guilda %s entrou na aliança %s"
439       "A guilda se retirou da aliança"
440       "A guilda %s se retirou da aliança %s"
441       "A guilda não é mais da aliança %s"
442       "A guilda não é mais inimiga da guilda %s"
443       "A aliança %s foi desfeita"
448       "Você não pode invocar a Life Stone fora do Castle Siege"
449       "Somente a aliança ofensiva pode invocar a Life Stone"
450       "Uma Life Stone já foi invocada"
451       "Você não pode invocar a Life Stone dentro da Torre do Dragão"
452       "A Life Stone foi invocada com sucesso"
453       "A Life Stone falhou em ser invocada"
464       "Você não pode invocar o soldado fora do Castle Siege"
465       "Somente a aliança defensiva pode invocar o soldado"
466       "Somente o líder da guilda e seu assistente podem invocar o soldado"
467       "O número máximo de soldados foi excedido"
468       "O soldado foi invocado com sucesso"
469       "O soldado falhou em ser invocado"
480       "O servidor fechou"
481       "O servidor irá fechar automáticamente em %d segundo(s)"
482       "Esse é um item duplicado, entre em contado com o administrador"
483       "O seu bloqueio do chat terminou"
484       "Você irá sair do jogo em %d segundo(s)"
485       "A auto defesa contra %s iniciou"
486       "A auto defesa contra %s terminou"
487       "O servidor irá desligar automáticamente em 1 minuto(s)"
488       "O servidor irá desligar automáticamente em 3 minuto(s)"
489       "O servidor irá desligar automáticamente em 5 minuto(s)"
490       "A partida irá começar automáticamente em 10 segundo(s)"
491       "%s ganhou %d Jewel of Bless" 
492	  "%s matou a Fenix"	
493       "Você ganhou %d ponto(s) de evento e %d Golds"
494       "%s matou um golden"
495       "Você ganhou %d ponto(s) de evento e %d Golds"
496       "%s matou o Erohin"
497       "Você ganhou %d ponto(s) de evento e %d Golds"
498       " "
499       "Remova os Errtels antes de colocar"
500	  "[Rei do MU] O evento começou"
501	  "[Rei do MU] O evento terminou"
502       "[Rei do MU] Começa em %d minuto(s)"
503       "[Rei do MU] A guild %s tomou o castelo!"
504       "[Rei do MU] Começa em %d Segundo(s)"
505       " "
506       "Você não é membro de uma guild!"
507       "Sua guild já é dona do castelo!"
508       "Você não está na coordenada correta!"
509       "Sua guild deve ter no mínimo %d membros!"
510       "Parabéns! Sua guild agora é dona do castelo!"
511       "[Rei do MU] Termina em %d minuto(s)!"
512 	  " "
513 	  "Inventório limpo com sucesso!"
514 	  "www.perfeczone.com.br"
515       "%s matou %s"
516       "%s matou %s"
517       " "
518       "Você não tem permissão para utilizar o /setvip"
519       "Vip adicionado com sucesso!"
520       "Essa conta não existe!"
521       "%s Você não precisa mais da minha ajuda"
522       "%s Seu plano vip não permite o uso desse buff"
523       "%s Zen necessário: %d"
524       "%s PCPoints necessários: %d"
525       "%s Você precisa estar na família Vanert"
526       "%s Você precisa estar na família Duprian"
527       "%s Você precisa estar na família Duprian"
528       "%s Você precisa estar na família Vanert"
529       "%s Necessário pontos da família: %d"
530       "%s Tempo: %d Minutos(s)"
531       "%s Removido %d Zen"
532       "%s Removido %d PCPoint(s)"
533       "%s Buff Aplicado!"

602 	  "You can not marry yourself 0,0!"
603 	  "You just got married to %s!"
604 	  "You are already married!"
605 	  "The other character is already married!"
606 	  "Usage: [/marry to name | /marry divorce | /marry track or trace]!"
607 	  "You can not divorce in the first week of being married!"
608 	  "You just got divorced!"
609 	  "You are not married!"
610 	  "You tracked!"
611 	  "You traced!"
612 	  "%s just married %s!"
613 	  "%s just divorced %s!"
614 	  "[Marry System]Congragulations,"
615 	  "between %s and %s!"
616 	  "[Marry System]No hommo allowed"
617 	  "You need at least %d level to use this command!"
618 	  "He/She needs at least %d level to use this command!"
619 	  "Marry system has been disabled!"
620 	  "You need at least %d zen to use this command!"
621 	  "You need to stand on the correct position in Devias2!"
622 	  "Your target need to stand on the correct position in Devias2!"
623 	  "Info: [Minimum Level : %d | Track&Trace Cost : %d zen]!"
624 	  "You cannot divorce while he/she is disconnected!"
625 	  "The other character is disconnected!"
626 	  "Skin %d applied to %d players!"
627 	  "Personagem %s não está online!"
628 	  " "
629 	  " "
630	  "Você precisa estar no level %d para usar esse comando!" 
631	  "Permitido usar apenas dentro da cidade!"
632	  "Você e seu adversário precisam estar no level %d para duelar!"
633	  "Comando não habilitado para sua conta!" 
634 	  "Comando: [/classe dw, dk, elf, mg, dl, su]"
635	  "Você deve escolher uma classe diferente da sua!" 
636	  "Você deve remover os itens do personagem primeiro!" 
637	  "Classe não disponível!"
638	  "Resets necessários: %d!"
639	  "[GameMaster] %s está Online!"
640	  "%s está Online!"
641       "Você não tem permissão para utilizar!"
642       "Personagem não encontrado!"
643 	  "Comando: [/premiar CHAR TIPO VALOR]"
644	  "Tipo do prêmio não disponível!"
645	  "Valor do prêmio maior que o permitido!"
646	  "Prêmio adicionado com sucesso!"
647	  "Você não pode premiar você mesmo!"
648 	  "Comando: [/reload tipo | Ex: /reload common]"
649 	  "Reload executado com sucesso!"
650 	  "Comando: [/premiarall TIPO VALOR]"
651 	  "O nome deve ter no máximo 10 letras."
652 	  "Esse nome já existe."
653       "Aguarde %d segundos para utilizar novamente."
654       "Esse nome já existe!"
655       "Nome alterado com sucesso!"
656       "Nome não alterado!"
657       "O personagem %s mudou o nome para %s!"
658       "Você deve sair da guild para trocar de nome."
659       "Você não pode utilizar agora."
660	  "[VELOZ] Começou em %s!"
661	  "[VELOZ] O evento termina em %d minuto(s)!"
662	  "[VELOZ] O evento termina em %d segundo(s)!"
663	  "[VELOZ] Vencedor %s!"
664	  "[VELOZ] Fim do evento - Não teve vencedor!"
665 	  "[VELOZ] Corra para as cord x%d y%d"
666	  "[VELOZ] Fim do evento - Evento cancelado!"
667       "Personagem não encontrado ou offline!"
668       "Conta banida com sucesso!"
669       "Personagem banido com sucesso!"
670	  "[EVENTO] Fecha em %d segundo(s)"
671	  "[EVENTO] Tempo para participar acabou!"
672	  "[EVENTO] Cancelado!"
673	  "[EVENTO] %s iniciou um evento!"
674	  "[EVENTO] Digite /participar para entrar!"
675	  "[EVENTO] Participante %s adicionado!"
676	  "[ESCESC] Acaba em %d segundo(s)"
677	  "[ESCESC] Acabou sem vencendor!"
678	  "[ESCESC] Cancelado!"
679	  "[ESCESC] %s iniciou o evento!"
680	  "[ESCESC] Procure o GM e de trade!"
681	  "[ESCESC] %s venceu o evento!"
682	  "[ESCESC] O evento termina em %d minuto(s)!"
683	  "[PEGAPEGA] Fechou!"
684	  "[PEGAPEGA] Evento iniciado. Corre negada!"
685	  "[PEGAPEGA] Tempo esgotado!"
686	  "[PEGAPEGA] Cancelado!"
687	  "[PEGAPEGA] Abriu!"
688	  "[PEGAPEGA] Digite /queroir para participar!"
689	  "[PEGAPEGA] Participante %s adicionado!"
690	  "[PEGAPEGA] %s venceu o evento!"
691	  "[PEGAPEGA] %s foi pego!"
692	  "[QUEST %d] Você precisa estar no level %d ou +!"
693	  "[QUEST %d] Você precisa ter %d Reset(s) ou +!"
694	  "[QUEST %d] Você precisa ter %d Master Reset(s) ou +!"
695	  "[QUEST %d] Você precisa ter %d zen ou +!"
696	  "[QUEST %d] Você deve ir para %s (x%d,y%d)!"
697	  "[QUEST %d] Você não tem o plano vip necessário!"
698	  "[QUEST %d] Item necessário: %s"
699	  "[QUEST %d] Você deve matar %d %s (Faltam: %d)!"
700	  "[QUEST] Parabéns, você concluiu todas as quests!"
701	  "[QUEST %d] Concluida! Você ganhou: %d Cash, %d Gold, %d PcPoint!"
702	  "Parabéns você recebeu um presente!"
703	  "Você já recebeu todos seus presentes!"
704	  "[RoletaRussa] Fechou!"
705	  "[RoletaRussa] Evento iniciado!"
706	  "[RoletaRussa] Tempo esgotado!"
707	  "[RoletaRussa] Cancelado!"
708	  "[RoletaRussa] Abriu (Max Participantes: %d)!"
709	  "[RoletaRussa] Digite /queroir para participar!"
710	  "[RoletaRussa] Participante %d: %s adicionado!"
711	  "[RoletaRussa] %s venceu o evento!"
712	  "[RoletaRussa] Colocando a bala no tambor...!"
713	  "[RoletaRussa] Girando o tambor...!"
714	  "[RoletaRussa] Engatilhando...!"
715	  "[RoletaRussa] FOGO!"
716	  "[RoletaRussa] HeadShot %s foi eliminado!"
717	  "[RoletaRussa] %s escapou ileso!"
718       "[Rei do MU] Entrega dos prêmios!!!!"
719       "[Rei do MU] A Guild %s venceu o evento!"
720       "[Rei do MU] Dona tempo: %d minuto(s)!"
721       "[Rei do MU] Todos membros da guild online ganharam:"
722       "[Rei do MU] 10 Cash!!!"
723       "[Rei do MU] Personagens que mais consquistaram:"
724       "[Rei do MU] %d°: %s (Guild: %s)!"
725       "[Rei do MU] Ganharam 10 cash cada!"
726       "[Rei do MU] Não teve vencedor!"
730	  "Adicionado(s) %d Cash na sua conta!"
731	  "Adicionado(s) %d Gold na sua conta!"
732	  "Adicionado(s) %d PcPoint na sua conta!"
733 	  "Comando: [/top tipo classe | Ex: /top rr dk]"
734 	  "Comando: [Classe: dk,dw,fe,mg,dl,su]"
735 	  "Sem resultados!"
736 	  "%d° Colocado: %s (%d)"
737 	  "Pontos redistribuidos"
738  	  "%s alcançou a patente %s!"
739  	  "Você alcançou a patente %s!"
740       "Fui desativado =("
741	  "Você precisa ter 64 peças do mesmo tipo no inventário"
742       "Muito obrigado, já peguei os itens e entreguei seu prêmio."
743       "Desculpe, não tenho interesse nesses itens."
744	  "Você trocou seus itens por prêmios!"
745	  "[%s] Começa em %d minuto(s)!"
746	  "[%s] Pergunta: (Use /resp para responder)"
747	  "[%s] %s"
748	  "[%s] %s venceu o evento!"
749	  "[%s] Não teve vencedor!"
750	  "[%s] Resposta Errada!"
751	  "[%s] Resposta: %s"
752	  "[PickUp %s] Habilitado!"
753	  "[PickUp %s] Desabilitado!"
754	  "[PickUp] Desabilitado!"
755	  "[ReMaster] MasterSkillTree resetada!"
756	  "[ReMaster] MasterSkillTree erro ao resetar!"
757	  "[BuyVip] Você não tem o valor necessário para comprar!"
758	  "[BuyVip] Parabéns você assinou o %s!"
759	  "[BuyVip] O plano escolhido é inferior ao seu plano atual!"
760	  "Descontado %d Cash da sua conta!"
761	  "Descontado %d Gold da sua conta!"
762	  "Descontado %d PcPoint da sua conta!"
763	  "Você não pode usar o custom attack com MuHelper ativo!"
764	  "Você não pode usar o MuHelper com custom attack ativo!"
765	  "Não pode usar acima do level: %d"
766	  "Valor para usar: %d Cash!"
767	  "Valor para usar: %d Gold!"
768	  "Valor para usar: %d PcPoint!"
769	  " "
770	  " "
771	  "[OffPvp] Ativado"
772	  "[OffPvp] Desativado"
773	  "[Lock] Ativado - Itens bloqueados!"
774	  "[Lock] A senha deve conter no máximo 8 caracteres!"
775	  "[Lock] Já está ativado, utilize /unlock para desbloquear!"
776	  "[Lock] Desativado!"
777	  "[Lock] Senha inválida!"
778	  "[Lock] Ação bloqueada por senha!"
779	  "You can only activate the command in the safe zone"
780	  "Personal Shop está vázio ou os itens estão sem valores"
781	  "ATTENTION!! All items in this store are sold for Jewel of Bless"
782	  "ATTENTION!! All items in this store are sold for Jewel of Soul"
783	  "ATTENTION!! All items in this store are sold for Jewel of Chaos"
784	  "ATENÇÃO!! Itens vendidos por Cash"
785	  "ATENÇÃO!! Itens vendidos por Gold"
786	  "ATENÇÃO!! Itens vendidos por PcP"
787	  "You need to open the Personal Store before"
788	  "O comando será executado durante %d minuto(s)"
789	  "Tempo de utilização do /store terminou"
790	  "[Attack] Desativado"
791	  "[Attack] Você não pode usar nesse local"
792	  "[Attack] Você não tem a Skill necessária para usar"
793	  "[Attack] Tempo de uso: %d minuto(s)"
794	  "[Attack] Tempo esgostado"
795	  "[Attack] Ativado"
796	  "[OffAttack] Você deve ativar o /attack antes"
797	  "[OffAttack] Você não pode usar nesse local"
798	  "Essa Guild não existe!"
799	  "[PvP] Tempo esgotado!"
800	  "[PvP] Cancelado!"
801	  "[PvP] %s x %s iniciado!"
802	  "[PvP] %s %d x %d %s!"
803	  "[PvP] %s venceu o evento!"
804	  "[PvP] Iniciado!"
805	  "[MataMata] Fechou!"
806	  "[MataMata] Evento iniciado!"
807	  "[MataMata] Tempo esgotado!"
808	  "[MataMata] Cancelado!"
809	  "[MataMata] Abriu (Max Participantes: %d)!"
810	  "[MataMata] Digite /queroir para participar!"
811	  "[MataMata] Player %d: %s adicionado!"
812	  "[MataMata] 1º - %s (%d pontos)!"
813	  "[MataMata] 2º - %s (%d pontos)!"
814	  "[MataMata] 3º - %s (%d pontos)!"
815	  "[MataMata] Sua posição: %dº (%d pontos)!"
816	  "[MataMata] Score: %d pontos!"
817	  "O novo nome contém texto não permitido!"
818       "Necessário: %d master reset(s)."
819       "Não permitido com %d master ou +"
820       "Comando: [/pack (soul,bless) (10,20,30)]"
821       "Comando: [/unpack (soul,bless) (10,20,30)]"
822       "Você não possui o(s) item(s) necessário(s)."
823       "Comando concluido com sucesso."
824       "Você não tem espaço no inventorio."
825       "[TvTEvent] fecha em %d minuto(s)"
826       "Entrada para o Evento Team vs Team"
827       "[TvTEvent] fechou!"
828       "[TvTEvent] começa em %d minuto(s)"
829       "[TvTEvent] começou!"
830       "[TvTEvent] acabou!"
831       "[TvTEvent] Você não pode entrar!"
832       "[TvTEvent] Não está aberto!"
833       "[TvTEvent] Você não tem o item necessário para entrar!"
834	  "Você não tem o valor necessário para comprar!"
835	  "Não permitido em Trade!"
836	  "Descontado %d Zen por usar o comando!"
837	  "Valor para usar: %d Cash, %d Gold, %d PcP!"
838	  "Digite novamente o comando se deseja usar!"
839	  "Outro usuário da guild está com o baú aberto!"
840	  "Você não tem autorização para usar o baú da Guild!"
841	  "%s baniu o personagem %s por %d dias!"
842	  "%s baniu a conta do personagem %s por %d dias!"
843	  "[AntiHack] Detectado o uso de SpeedHack!"
844	  "[Trade] Valor necessário: %d Zen!"
845	  "[Trade] Valor necessário: %d Cash!"
846	  "[Trade] Valor necessário: %d Gold!"
847	  "[Trade] Valor necessário: %d PCPoint!"
848	  "[Trade] %s não tem o valor necessário!"
849	  "[QUEST %d] Necessário %d Cash para realizar!"
850	  "[QUEST %d] Necessário %d Gold para realizar!"
851	  "[QUEST %d] Necessário %d PcPoint para realizar!"
852       "[QUEST %d] Sem espaço no inventorio para receber seu prêmio!"
853       "[QUEST %d] O buff já está ativo, realize a quest depois!"
854       "Falta matar %d monstros para concluir a missão!"
855       "Missão Concluida!"
856       "[QUEST %d] Você não tem a patente necessária!"
857       "[QUEST %d] Necessário %d Kill(s) para continuar!"
858       "Sala iniciante! Saindo em %d segundo(s)"
859       "Você não pode acessar essa sala! Saindo em %d segundo(s)"
860	  "[QUEST] Parabéns, você já concluiu essa quest!"
861       "Você está pk e não pode usar"
862       "O personagem está pk e não pode usar"
863       "[GvGEvent] fecha em %d minuto(s)"
864       "Entrada para o Evento Guild vs Guild"
865       "[GvGEvent] fechou!"
866       "[GvGEvent] começa em %d minuto(s)"
867       "[GvGEvent] começou!"
868       "[GvGEvent] acabou!"
869       "[GvGEvent] Você não pode entrar!"
870       "[GvGEvent] Não está aberto!"
871       "[GvGEvent] Você não tem o item necessário para entrar!"
872       "[GvGEvent] Você precisa estar em uma guild!"
873       "[GvGEvent] O GameMaster da guild deve entrar primeiro!"
874       "[GvGEvent] %d ponto(s) para a guild %s!"
875       "[GvGEvent] Cancelado!"
876       "[GvGEvent] A Guild %s venceu o evento!"
877	  "[ExchangeCoin] Valor necessário: %d WC!"
878	  "[ExchangeCoin] Valor necessário: %d WP!"
879	  "[ExchangeCoin] Valor necessário: %d GP!"
880	  "[ExchangeCoin] Troca realizada com sucesso!"
end
