//Index   Group   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireCooldown   DW      DK      FE      MG      DL      SU
//Index   Group   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireCooldown   DW      DK      FE      MG      DL      SU
0         18      0        0           257            0              1            1            2            2            *            *            *              *              *              1                 14                *               *                 1       1       1       1       1       1       
0         18      0        0           257            0              1            1            2            2            *            *            0              18             0              1                 14                *               *                 1       1       1       1       1       1       
0         18      0        0           257            0              1            1            2            2            *            *            0              18             4              1                 14                *               *                 1       1       1       1       1       1       
1         18      0        0           257            1              *            *            *            *            *            *            1              18             1              *                 *                 *               *                 1       1       1       1       1       1       
1         18      0        0           257            1              *            *            *            *            *            *            1              18             4              1                 14                *               *                 1       1       1       1       1       1       
2         18      0        0           257            2              *            *            *            *            *            *            2              18             2              *                 *                 *               *                 1       1       1       1       1       1       
2         18      0        0           257            2              *            *            *            *            *            *            2              18             4              1                 14                *               *                 1       1       1       1       1       1       
3         18      1        0           257            0              4            1            8            2            *            *            *              *              *              15                25                *               *                 1       1       0       0       0       0       
3         18      1        0           257            0              4            1            8            2            *            *            3              18             0              15                25                *               *                 1       1       0       0       0       0       
3         18      1        0           257            0              4            1            8            2            *            *            3              18             4              15                25                *               *                 1       1       0       0       0       0       
3         18      1        0           257            0              5            1            8            2            *            *            *              *              *              15                25                *               *                 0       0       0       1       1       0       
3         18      1        0           257            0              5            1            8            2            *            *            3              18             0              15                25                *               *                 0       0       0       1       1       0       
3         18      1        0           257            0              5            1            8            2            *            *            3              18             4              15                25                *               *                 0       0       0       1       1       0       
3         18      1        0           257            0              6            1            8            2            *            *            *              *              *              15                25                *               *                 0       0       1       0       0       0       
3         18      1        0           257            0              6            1            8            2            *            *            3              18             0              15                25                *               *                 0       0       1       0       0       0       
3         18      1        0           257            0              6            1            8            2            *            *            3              18             4              15                25                *               *                 0       0       1       0       0       0       
3         18      1        0           257            0              7            1            8            2            *            *            *              *              *              15                25                *               *                 0       0       0       0       0       1       
3         18      1        0           257            0              7            1            8            2            *            *            3              18             0              15                25                *               *                 0       0       0       0       0       1       
3         18      1        0           257            0              7            1            8            2            *            *            3              18             4              15                25                *               *                 0       0       0       0       0       1       
4         18      1        0           257            1              *            *            *            *            *            *            4              18             1              *                 *                 *               *                 1       1       0       0       0       0       
4         18      1        0           257            1              *            *            *            *            *            *            4              18             4              15                25                *               *                 1       1       0       0       0       0       
5         18      1        0           257            1              *            *            *            *            *            *            5              18             1              *                 *                 *               *                 0       0       0       1       1       0       
5         18      1        0           257            1              *            *            *            *            *            *            5              18             4              15                25                *               *                 0       0       0       1       1       0       
6         18      1        0           257            1              *            *            *            *            *            *            6              18             1              *                 *                 *               *                 0       0       1       0       0       0       
6         18      1        0           257            1              *            *            *            *            *            *            6              18             4              15                25                *               *                 0       0       1       0       0       0       
7         18      1        0           257            1              *            *            *            *            *            *            7              18             1              *                 *                 *               *                 0       0       0       0       0       1       
7         18      1        0           257            1              *            *            *            *            *            *            7              18             4              15                25                *               *                 0       0       0       0       0       1       
8         18      1        0           257            2              *            *            *            *            *            *            8              18             2              *                 *                 *               *                 1       1       1       1       1       1       
8         18      1        0           257            2              *            *            *            *            *            *            8              18             4              15                25                *               *                 1       1       1       1       1       1       
9         18      2        0           257            0              10           1            14           2            *            *            *              *              *              26                35                *               *                 1       1       0       0       0       0       
9         18      2        0           257            0              10           1            14           2            *            *            9              18             0              26                35                *               *                 1       1       0       0       0       0       
9         18      2        0           257            0              10           1            14           2            *            *            9              18             4              26                35                *               *                 1       1       0       0       0       0       
9         18      2        0           257            0              11           1            14           2            *            *            *              *              *              26                35                *               *                 0       0       0       1       1       0       
9         18      2        0           257            0              11           1            14           2            *            *            9              18             0              26                35                *               *                 0       0       0       1       1       0       
9         18      2        0           257            0              11           1            14           2            *            *            9              18             4              26                35                *               *                 0       0       0       1       1       0       
9         18      2        0           257            0              12           1            14           2            *            *            *              *              *              26                35                *               *                 0       0       1       0       0       0       
9         18      2        0           257            0              12           1            14           2            *            *            9              18             0              26                35                *               *                 0       0       1       0       0       0       
9         18      2        0           257            0              12           1            14           2            *            *            9              18             4              26                35                *               *                 0       0       1       0       0       0       
9         18      2        0           257            0              13           1            14           2            *            *            *              *              *              26                35                *               *                 0       0       0       0       0       1       
9         18      2        0           257            0              13           1            14           2            *            *            9              18             0              26                35                *               *                 0       0       0       0       0       1       
9         18      2        0           257            0              13           1            14           2            *            *            9              18             4              26                35                *               *                 0       0       0       0       0       1       
10        18      2        0           257            1              *            *            *            *            *            *            10             18             1              *                 *                 *               *                 1       1       0       0       0       0       
10        18      2        0           257            1              *            *            *            *            *            *            10             18             4              26                35                *               *                 1       1       0       0       0       0       
11        18      2        0           257            1              *            *            *            *            *            *            11             18             1              *                 *                 *               *                 0       0       0       1       1       0       
11        18      2        0           257            1              *            *            *            *            *            *            11             18             4              26                35                *               *                 0       0       0       1       1       0       
12        18      2        0           257            1              *            *            *            *            *            *            12             18             1              *                 *                 *               *                 0       0       1       0       0       0       
12        18      2        0           257            1              *            *            *            *            *            *            12             18             4              26                35                *               *                 0       0       1       0       0       0       
13        18      2        0           257            1              *            *            *            *            *            *            13             18             1              *                 *                 *               *                 0       0       0       0       0       1       
13        18      2        0           257            1              *            *            *            *            *            *            13             18             4              26                35                *               *                 0       0       0       0       0       1       
14        18      2        0           257            2              *            *            *            *            *            *            14             18             2              *                 *                 *               *                 1       1       1       1       1       1       
14        18      2        0           257            2              *            *            *            *            *            *            14             18             4              26                35                *               *                 1       1       1       1       1       1       
15        18      3        0           257            0              16           1            18           2            *            *            *              *              *              36                45                *               *                 0       0       0       1       1       0       
15        18      3        0           257            0              16           1            18           2            *            *            15             18             0              36                45                *               *                 0       0       0       1       1       0       
15        18      3        0           257            0              16           1            18           2            *            *            15             18             4              36                45                *               *                 0       0       0       1       1       0       
15        18      3        0           257            0              17           1            18           2            *            *            *              *              *              36                45                *               *                 1       1       1       0       0       1       
15        18      3        0           257            0              17           1            18           2            *            *            15             18             0              36                45                *               *                 1       1       1       0       0       1       
15        18      3        0           257            0              17           1            18           2            *            *            15             18             4              36                45                *               *                 1       1       1       0       0       1       
16        18      3        0           257            1              *            *            *            *            *            *            16             18             1              *                 *                 *               *                 0       0       0       1       1       0       
16        18      3        0           257            1              *            *            *            *            *            *            16             18             4              36                45                *               *                 0       0       0       1       1       0       
17        18      3        0           257            1              *            *            *            *            *            *            17             18             1              *                 *                 *               *                 1       1       1       0       0       1       
17        18      3        0           257            1              *            *            *            *            *            *            17             18             4              36                45                *               *                 1       1       1       0       0       1       
18        18      3        0           257            2              *            *            *            *            *            *            18             18             2              *                 *                 *               *                 1       1       1       1       1       1       
18        18      3        0           257            2              *            *            *            *            *            *            18             18             4              36                45                *               *                 1       1       1       1       1       1       
19        18      4        0           257            0              20           1            22           2            *            *            *              *              *              46                55                *               *                 0       0       0       1       1       0       
19        18      4        0           257            0              20           1            22           2            *            *            19             18             0              46                55                *               *                 0       0       0       1       1       0       
19        18      4        0           257            0              20           1            22           2            *            *            19             18             4              46                55                *               *                 0       0       0       1       1       0       
19        18      4        0           257            0              21           1            22           2            *            *            *              *              *              46                55                *               *                 1       1       1       0       0       1       
19        18      4        0           257            0              21           1            22           2            *            *            19             18             0              46                55                *               *                 1       1       1       0       0       1       
19        18      4        0           257            0              21           1            22           2            *            *            19             18             4              46                55                *               *                 1       1       1       0       0       1       
20        18      4        0           257            1              *            *            *            *            *            *            20             18             1              *                 *                 *               *                 0       0       0       1       1       0       
20        18      4        0           257            1              *            *            *            *            *            *            20             18             4              46                55                *               *                 0       0       0       1       1       0       
21        18      4        0           257            1              *            *            *            *            *            *            21             18             1              *                 *                 *               *                 1       1       1       0       0       1       
21        18      4        0           257            1              *            *            *            *            *            *            21             18             4              46                55                *               *                 1       1       1       0       0       1       
22        18      4        0           257            2              *            *            *            *            *            *            22             18             2              *                 *                 *               *                 1       1       1       1       1       1       
22        18      4        0           257            2              *            *            *            *            *            *            22             18             4              46                55                *               *                 1       1       1       1       1       1       
23        18      5        0           257            0              24           1            26           2            *            *            *              *              *              56                65                *               *                 0       0       0       1       1       0       
23        18      5        0           257            0              24           1            26           2            *            *            23             18             0              56                65                *               *                 0       0       0       1       1       0       
23        18      5        0           257            0              24           1            26           2            *            *            23             18             4              56                65                *               *                 0       0       0       1       1       0       
23        18      5        0           257            0              25           1            26           2            *            *            *              *              *              56                65                *               *                 1       1       1       0       0       1       
23        18      5        0           257            0              25           1            26           2            *            *            23             18             0              56                65                *               *                 1       1       1       0       0       1       
23        18      5        0           257            0              25           1            26           2            *            *            23             18             4              56                65                *               *                 1       1       1       0       0       1       
24        18      5        0           257            1              *            *            *            *            *            *            24             18             1              *                 *                 *               *                 0       0       0       1       1       0       
24        18      5        0           257            1              *            *            *            *            *            *            24             18             4              56                65                *               *                 0       0       0       1       1       0       
25        18      5        0           257            1              *            *            *            *            *            *            25             18             1              *                 *                 *               *                 1       1       1       0       0       1       
25        18      5        0           257            1              *            *            *            *            *            *            25             18             4              56                65                *               *                 1       1       1       0       0       1       
26        18      5        0           257            2              *            *            *            *            *            *            26             18             2              *                 *                 *               *                 1       1       1       1       1       1       
26        18      5        0           257            2              *            *            *            *            *            *            26             18             4              56                65                *               *                 1       1       1       1       1       1       
27        18      6        0           257            0              28           1            30           2            *            *            *              *              *              66                79                *               *                 0       0       0       1       1       0       
27        18      6        0           257            0              28           1            30           2            *            *            27             18             0              66                79                *               *                 0       0       0       1       1       0       
27        18      6        0           257            0              28           1            30           2            *            *            27             18             4              66                79                *               *                 0       0       0       1       1       0       
27        18      6        0           257            0              29           1            30           2            *            *            *              *              *              66                79                *               *                 1       1       1       0       0       1       
27        18      6        0           257            0              29           1            30           2            *            *            27             18             0              66                79                *               *                 1       1       1       0       0       1       
27        18      6        0           257            0              29           1            30           2            *            *            27             18             4              66                79                *               *                 1       1       1       0       0       1       
28        18      6        0           257            1              *            *            *            *            *            *            28             18             1              *                 *                 *               *                 0       0       0       1       1       0       
28        18      6        0           257            1              *            *            *            *            *            *            28             18             4              66                79                *               *                 0       0       0       1       1       0       
29        18      6        0           257            1              *            *            *            *            *            *            29             18             1              *                 *                 *               *                 1       1       1       0       0       1       
29        18      6        0           257            1              *            *            *            *            *            *            29             18             4              66                79                *               *                 1       1       1       0       0       1       
30        18      6        0           257            2              *            *            *            *            *            *            30             18             2              *                 *                 *               *                 1       1       1       1       1       1       
30        18      6        0           257            2              *            *            *            *            *            *            30             18             4              66                79                *               *                 1       1       1       1       1       1       
31        18      7        0           257            0              32           1            34           2            *            *            *              *              *              80                90                *               *                 0       0       0       1       1       0       
31        18      7        0           257            0              32           1            34           2            *            *            31             18             0              80                90                *               *                 0       0       0       1       1       0       
31        18      7        0           257            0              32           1            34           2            *            *            31             18             4              80                90                *               *                 0       0       0       1       1       0       
31        18      7        0           257            0              33           1            34           2            *            *            *              *              *              80                90                *               *                 1       1       1       0       0       1       
31        18      7        0           257            0              33           1            34           2            *            *            31             18             0              80                90                *               *                 1       1       1       0       0       1       
31        18      7        0           257            0              33           1            34           2            *            *            31             18             4              80                90                *               *                 1       1       1       0       0       1       
32        18      7        0           257            1              *            *            *            *            *            *            32             18             1              *                 *                 *               *                 0       0       0       1       1       0       
32        18      7        0           257            1              *            *            *            *            *            *            32             18             4              80                90                *               *                 0       0       0       1       1       0       
33        18      7        0           257            1              *            *            *            *            *            *            33             18             1              *                 *                 *               *                 1       1       1       0       0       1       
33        18      7        0           257            1              *            *            *            *            *            *            33             18             4              80                90                *               *                 1       1       1       0       0       1       
34        18      7        0           257            2              *            *            *            *            *            *            34             18             2              *                 *                 *               *                 1       1       1       1       1       1       
34        18      7        0           257            2              *            *            *            *            *            *            34             18             4              80                90                *               *                 1       1       1       1       1       1       
35        18      8        0           257            0              36           1            38           2            *            *            *              *              *              91                100               *               *                 0       0       0       1       1       0       
35        18      8        0           257            0              36           1            38           2            *            *            35             18             0              91                100               *               *                 0       0       0       1       1       0       
35        18      8        0           257            0              36           1            38           2            *            *            35             18             4              91                100               *               *                 0       0       0       1       1       0       
35        18      8        0           257            0              37           1            38           2            *            *            *              *              *              91                100               *               *                 1       1       1       0       0       1       
35        18      8        0           257            0              37           1            38           2            *            *            35             18             0              91                100               *               *                 1       1       1       0       0       1       
35        18      8        0           257            0              37           1            38           2            *            *            35             18             4              91                100               *               *                 1       1       1       0       0       1       
36        18      8        0           257            1              *            *            *            *            *            *            36             18             1              *                 *                 *               *                 0       0       0       1       1       0       
36        18      8        0           257            1              *            *            *            *            *            *            36             18             4              91                100               *               *                 0       0       0       1       1       0       
37        18      8        0           257            1              *            *            *            *            *            *            37             18             1              *                 *                 *               *                 1       1       1       0       0       1       
37        18      8        0           257            1              *            *            *            *            *            *            37             18             4              91                100               *               *                 1       1       1       0       0       1       
38        18      8        0           257            2              *            *            *            *            *            *            38             18             2              *                 *                 *               *                 1       1       1       1       1       1       
38        18      8        0           257            2              *            *            *            *            *            *            38             18             4              91                100               *               *                 1       1       1       1       1       1       
39        18      9        0           257            0              40           1            42           2            *            *            *              *              *              101               110               *               *                 0       0       0       1       1       0       
39        18      9        0           257            0              40           1            42           2            *            *            39             18             0              101               110               *               *                 0       0       0       1       1       0       
39        18      9        0           257            0              40           1            42           2            *            *            39             18             4              101               110               *               *                 0       0       0       1       1       0       
39        18      9        0           257            0              41           1            42           2            *            *            *              *              *              101               110               *               *                 1       1       1       0       0       1       
39        18      9        0           257            0              41           1            42           2            *            *            39             18             0              101               110               *               *                 1       1       1       0       0       1       
39        18      9        0           257            0              41           1            42           2            *            *            39             18             4              101               110               *               *                 1       1       1       0       0       1       
40        18      9        0           257            1              *            *            *            *            *            *            40             18             1              *                 *                 *               *                 0       0       0       1       1       0       
40        18      9        0           257            1              *            *            *            *            *            *            40             18             4              101               110               *               *                 0       0       0       1       1       0       
41        18      9        0           257            1              *            *            *            *            *            *            41             18             1              *                 *                 *               *                 1       1       1       0       0       1       
41        18      9        0           257            1              *            *            *            *            *            *            41             18             4              101               110               *               *                 1       1       1       0       0       1       
42        18      9        0           257            2              *            *            *            *            *            *            42             18             2              *                 *                 *               *                 1       1       1       1       1       1       
42        18      9        0           257            2              *            *            *            *            *            *            42             18             4              101               110               *               *                 1       1       1       1       1       1       
43        18      10       0           257            0              44           1            46           2            *            *            *              *              *              111               120               *               *                 0       0       0       1       1       0       
43        18      10       0           257            0              44           1            46           2            *            *            43             18             0              111               120               *               *                 0       0       0       1       1       0       
43        18      10       0           257            0              44           1            46           2            *            *            43             18             4              111               120               *               *                 0       0       0       1       1       0       
43        18      10       0           257            0              45           1            46           2            *            *            *              *              *              111               120               *               *                 1       1       1       0       0       1       
43        18      10       0           257            0              45           1            46           2            *            *            43             18             0              111               120               *               *                 1       1       1       0       0       1       
43        18      10       0           257            0              45           1            46           2            *            *            43             18             4              111               120               *               *                 1       1       1       0       0       1       
44        18      10       0           257            1              *            *            *            *            *            *            44             18             1              *                 *                 *               *                 0       0       0       1       1       0       
44        18      10       0           257            1              *            *            *            *            *            *            44             18             4              111               120               *               *                 0       0       0       1       1       0       
45        18      10       0           257            1              *            *            *            *            *            *            45             18             1              *                 *                 *               *                 1       1       1       0       0       1       
45        18      10       0           257            1              *            *            *            *            *            *            45             18             4              111               120               *               *                 1       1       1       0       0       1       
46        18      10       0           257            2              *            *            *            *            *            *            46             18             2              *                 *                 *               *                 1       1       1       1       1       1       
46        18      10       0           257            2              *            *            *            *            *            *            46             18             4              111               120               *               *                 1       1       1       1       1       1       
47        18      11       0           257            0              48           1            50           2            *            *            *              *              *              121               130               *               *                 0       0       0       1       1       0       
47        18      11       0           257            0              48           1            50           2            *            *            47             18             0              121               130               *               *                 0       0       0       1       1       0       
47        18      11       0           257            0              48           1            50           2            *            *            47             18             4              121               130               *               *                 0       0       0       1       1       0       
47        18      11       0           257            0              49           1            50           2            *            *            *              *              *              121               130               *               *                 1       1       1       0       0       1       
47        18      11       0           257            0              49           1            50           2            *            *            47             18             0              121               130               *               *                 1       1       1       0       0       1       
47        18      11       0           257            0              49           1            50           2            *            *            47             18             4              121               130               *               *                 1       1       1       0       0       1       
48        18      11       0           257            1              *            *            *            *            *            *            48             18             1              *                 *                 *               *                 0       0       0       1       1       0       
48        18      11       0           257            1              *            *            *            *            *            *            48             18             4              121               130               *               *                 0       0       0       1       1       0       
49        18      11       0           257            1              *            *            *            *            *            *            49             18             1              *                 *                 *               *                 1       1       1       0       0       1       
49        18      11       0           257            1              *            *            *            *            *            *            49             18             4              121               130               *               *                 1       1       1       0       0       1       
50        18      11       0           257            2              *            *            *            *            *            *            50             18             2              *                 *                 *               *                 1       1       1       1       1       1       
50        18      11       0           257            2              *            *            *            *            *            *            50             18             4              121               130               *               *                 1       1       1       1       1       1       
51        18      12       0           257            0              52           1            54           2            *            *            *              *              *              131               140               *               *                 0       0       0       1       1       0       
51        18      12       0           257            0              52           1            54           2            *            *            51             18             0              131               140               *               *                 0       0       0       1       1       0       
51        18      12       0           257            0              52           1            54           2            *            *            51             18             4              131               140               *               *                 0       0       0       1       1       0       
51        18      12       0           257            0              53           1            54           2            *            *            *              *              *              131               140               *               *                 1       1       1       0       0       1       
51        18      12       0           257            0              53           1            54           2            *            *            51             18             0              131               140               *               *                 1       1       1       0       0       1       
