//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireGroup   RequireState   DW      DK      FE      MG      DL      SU      
0          1      18      15         0       0         0         0         0           56             18             1              0       0       0       1       1       0       
0          1      8       50         0       0         0         0         0           57             18             1              1       1       1       0       0       1       
0          1      36      50         0       0         0         0         0           60             18             1              0       0       0       1       1       0       
0          1      25      3          0       0         0         0         0           61             18             1              1       1       1       0       0       1       
0          1      39      50         0       0         0         0         0           64             18             1              0       0       0       1       1       0       
0          1      424     50         0       0         0         0         0           65             18             1              1       1       1       0       0       1       
0          1      34      50         0       0         0         0         0           68             18             1              0       0       0       1       1       0       
0          1      425     50         0       0         0         0         0           69             18             1              1       1       1       0       0       1       
0          1      41      50         0       0         0         0         0           72             18             1              0       0       0       1       1       0       
0          1      36      50         0       0         0         0         0           73             18             1              1       1       1       0       0       1       
0          1      37      50         0       0         0         0         0           76             18             1              0       0       0       1       1       0       
0          1      34      50         0       0         0         0         0           77             18             1              1       1       1       0       0       1       
0          1      40      50         0       0         0         0         0           80             18             1              0       0       0       1       1       0       
0          1      41      50         0       0         0         0         0           81             18             1              1       1       1       0       0       1       
0          1      35      50         0       0         0         0         0           84             18             1              0       0       0       1       1       0       
0          1      37      50         0       0         0         0         0           85             18             1              1       1       1       0       0       1       
0          1      38      15         0       0         0         0         0           88             18             1              0       0       0       1       1       0       
0          1      40      50         0       0         0         0         0           89             18             1              1       1       1       0       0       1       

//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireGroup   RequireState   DW      DK      FE      MG      DL      SU      

// Gens Duprian Monsters

// Vepar
0          1      46      50         0       0         0         0         0           1              16             1              1       1       1       1       1       1       

// Death Tree
0          1      308     50         0       0         0         0         0           4              16             1              1       1       1       1       1       1       

// Splinter Wolves
0          1      351     50         0       0         0         0         0           7              16             1              1       1       1       1       1       1       

// Blood Assassin
0          1      486     50         0       0         0         0         0           10             16             1              1       1       1       1       1       1       

// Sapi-Duo
0          1      442     50         0       0         0         0         0           13             16             1              1       1       1       1       1       1       

//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireGroup   RequireState   DW      DK      FE      MG      DL      SU      

// Gens Vanert Monsters

// Silver Valkyrie
0          1      52      50         0       0         0         0         0           1              17             1              1       1       1       1       1       1       

// Death Rider
0          1      306     50         0       0         0         0         0           4              17             1              1       1       1       1       1       1       

// Iron Rider
0          1      352     50         0       0         0         0         0           7              17             1              1       1       1       1       1       1       

// Lava Giant
0          1      489     50         0       0         0         0         0           10             17             1              1       1       1       1       1       1       

// Ghost Napin
0          1      448     50         0       0         0         0         0           13             17             1              1       1       1       1       1       1       

// Deruvish
0          1      46      50         0       0         0         0         0           1              19             1              1       1       1       1       1       1       

end
