0
//NotifyTime   EventTime   CloseTime
1              10          4         
end

1
//MonsterAIUnitNumber1   MonsterAIUnitNumber2   MonsterAIUnitNumber3   MonsterAIUnitNumber4
74                       75                     76                     77
end

2
//Index   Level1   Level2   Level3   Level4   Level5   MaxLife1   MaxLife2   MaxLife3   MaxLife4   MaxLife5   Damage1   Damage2   Damage3   Damage4   Damage5   Defense1   Defense2   Defense3   Defense4   Defense5
31        5.50     4.49     4.49     4.49     4.49     27.80      28.00      29.00      29.80      30.60      6.68      7.68      8.68      8.58      9.58      9.00       9.20       9.70       9.70       9.90
32        5.55     4.53     4.53     4.53     4.53     29.80      29.50      30.00      30.80      31.60      6.98      7.88      8.88      8.78      9.78      9.40       9.40       9.90       9.90       10.10
33        5.60     4.57     4.57     4.57     4.57     30.80      30.50      31.00      31.80      32.60      7.18      8.08      9.08      9.05      10.05     9.60       9.60       10.10      10.10      10.30
34        5.65     4.61     4.61     4.61     4.61     31.80      31.50      32.00      32.80      33.60      7.38      8.35      9.35      9.18      10.18     9.80       9.80       10.30      10.30      10.50
35        5.70     4.65     4.65     4.65     4.65     32.80      32.50      33.00      33.80      34.60      7.58      8.48      9.48      9.38      10.38     10.00      10.00      10.50      10.50      10.70
36        5.75     4.69     4.69     4.69     4.69     33.80      33.50      34.00      34.80      35.60      7.78      8.68      9.68      9.58      10.58     10.20      10.20      10.70      10.70      10.90
37        5.80     4.73     4.73     4.73     4.73     34.80      34.50      35.00      35.80      36.60      7.98      8.88      9.88      9.78      10.78     10.40      10.40      10.90      10.90      11.10
38        5.85     4.77     4.77     4.77     4.77     35.80      35.50      36.00      36.80      37.60      8.18      9.08      10.08     9.98      10.98     10.60      10.60      11.10      11.10      11.30
39        6.79     6.79     6.79     6.79     6.79     38.00      37.00      38.00      38.80      39.80      8.48      9.28      10.28     10.18     11.18     11.60      11.50      11.40      11.40      11.50
40        6.79     6.79     6.79     6.79     6.79     39.00      41.00      42.00      42.80      43.80      8.58      9.68      10.78     10.38     11.38     12.00      12.50      12.80      12.50      12.30
41        6.79     6.79     6.79     6.79     6.79     42.00      50.00      52.00      61.80      66.80      8.68      9.88      10.78     10.58     11.58     12.30      13.50      15.00      15.70      17.50
42        6.79     6.79     6.79     6.79     6.79     47.00      52.00      57.00      66.80      71.80      8.88      9.98      10.88     10.78     11.78     12.60      14.00      15.50      16.20      18.00
43        6.79     6.79     6.79     6.79     6.79     53.00      58.00      63.00      72.80      77.80      9.08      10.08     11.08     10.98     11.98     12.90      14.30      16.30      17.00      18.80
44        6.79     6.79     6.79     6.79     6.79     59.00      64.00      69.00      78.80      83.80      9.38      10.28     11.28     11.18     12.18     13.10      15.10      17.10      17.80      19.60
45        6.79     6.79     6.79     6.79     6.79     69.00      70.00      75.00      84.80      89.80      9.98      11.00     12.00     12.38     13.38     14.00      15.90      17.90      18.60      20.40
46        6.79     6.79     6.79     6.79     6.79     76.00      76.00      81.00      90.80      95.80      10.28     12.00     13.00     13.10     13.70     14.70      16.70      18.70      19.40      21.20
47        6.79     6.79     6.79     6.79     6.79     82.00      82.00      87.00      96.80      100.80     10.58     12.50     13.50     13.50     14.00     15.20      17.50      19.50      20.20      22.00
48        6.79     6.79     6.79     6.79     6.79     88.00      88.00      93.00      101.80     106.80     10.88     13.00     13.80     13.70     14.30     16.00      18.30      20.30      21.00      22.80
49        6.79     6.79     6.79     6.79     6.79     93.00      94.00      99.00      107.80     112.80     11.18     13.40     14.10     14.00     14.60     16.70      19.10      21.10      21.80      23.60
50        6.79     6.79     6.79     6.79     6.79     95.00      100.00     105.00     113.80     118.80     11.38     13.70     14.40     14.30     14.90     17.40      19.90      21.90      22.60      24.40
51        6.79     6.79     6.79     6.79     6.79     101.00     106.00     111.00     119.80     124.80     11.48     14.00     14.70     14.60     15.20     17.70      20.70      22.70      23.40      25.20
52        6.79     6.79     6.79     6.79     6.79     107.00     112.00     117.00     125.80     130.80     11.78     14.30     15.00     14.90     15.50     18.50      21.50      23.50      24.20      26.00
53        6.79     6.79     6.79     6.79     6.79     113.00     118.00     123.00     131.80     136.80     12.08     14.60     15.30     15.20     15.80     19.30      22.30      24.30      25.00      26.80
54        6.79     6.79     6.79     6.79     6.79     119.00     124.00     129.00     137.80     142.80     12.38     14.90     15.60     15.50     16.10     20.10      23.10      25.10      25.80      27.60
55        6.79     6.79     6.79     6.79     6.79     125.00     130.00     135.00     143.80     148.80     12.68     15.20     15.90     15.80     16.40     20.90      23.90      25.90      26.60      28.40
56        6.79     6.79     6.79     6.79     6.79     131.00     136.00     141.00     149.80     154.80     12.98     15.50     16.20     16.10     16.70     21.70      24.70      26.70      27.40      29.20
57        6.79     6.79     6.79     6.79     6.79     137.00     142.00     147.00     155.80     160.80     13.28     15.80     16.50     16.40     17.00     22.50      25.50      27.50      28.20      30.00
58        6.79     6.79     6.79     6.79     6.79     143.00     148.00     153.00     161.80     166.80     13.58     16.10     16.80     16.70     17.30     23.30      26.30      28.30      29.00      30.80
59        6.79     6.79     6.79     6.79     6.79     149.00     157.00     162.00     167.80     172.80     13.88     16.60     17.20     17.00     17.60     24.10      28.10      29.10      29.80      31.60
end
