//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
73        0      2     224    231    227     227     0            0           15         400        *          *          0
74        0      2     69     181    72      178     0            0           15         400        *          *          0
75        0      7     225    53     228     50      0            0           60         400        *          *          0
76        0      7     62     163    68      157     0            0           60         400        *          *          0
77        0      8     96     143    100     146     0            0           130        400        *          *          0
80        0      17    12     5      14      10      0            0           0          400        *          *          0
82        0      18    31     88     36      95      0            0           0          400        *          *          0
83        0      19    31     88     36      95      0            0           0          400        *          *          0
84        0      20    31     88     36      95      0            0           0          400        *          *          0
85        0      21    31     88     36      95      0            0           0          400        *          *          0
86        0      22    31     88     36      95      0            0           0          400        *          *          0
87        0      23    31     88     36      95      0            0           0          400        *          *          0
88        0      24    10     16     17      22      0            0           0          400        *          *          0
89        0      25    10     16     17      22      0            0           0          400        *          *          0
90        0      26    10     16     17      22      0            0           0          400        *          *          0
91        0      27    10     16     17      22      0            0           0          400        *          *          0
92        0      28    10     16     17      22      0            0           0          400        *          *          0
93        0      29    10     16     17      22      0            0           0          400        *          *          0
94        0      30    88     31     102     46      0            0           0          400        *          *          0
95        0      31    60     10     69      19      0            0           0          400        *          *          0
96        1      30    93     242    95      243     97           0           0          400        *          *          0
97        2      30    164    198    187     209     0            0           0          400        *          *          0
98        1      30    160    203    161     205     99           0           0          400        *          *          0
99        2      30    90     236    99      239     0            0           0          400        *          *          0
100       0      30    39     14     142     50      0            0           0          400        *          *          0
101       0      30    84     180    100     222     0            0           0          400        *          *          0
102       1      0     239    14     240     15      103          0           10         400        *          *          0
103       2      30    29     42     30      37      0            0           10         400        *          *          0
104       0      30    87     209    100     232     0            0           0          400        *          *          0
105       0      30    72     10     104     199     0            0           0          400        *          *          0
106       0      30    131    94     138     92      0            0           0          400        *          *          0
107       1      30    28     40     28      41      108          0           0          400        *          *          0
108       2      0     235    13     239     13      0            0           0          400        *          *          0
109       1      31    59     7      63      8       110          0           0          400        *          *          0
110       2      30    131    94     138     92      0            0           0          400        *          *          0
111       0      32    133    91     141     99      0            0           10         400        *          *          0
112       0      32    135    162    142     170     0            0           10         400        *          *          0
113       2      33    76     9      78      16      0            0           10         400        *          *          0
114       2      34    231    37     234     45      0            0           10         400        *          *          0
115       0      6     61     116    64      119     0            0           0          400        *          *          0
116       0      36    10     16     17      22      0            0           0          400        *          *          0
117       1      30    161    37     165     45      114          0           10         400        *          *          0
118       0      34    229    37     239     46      0            0           10         400        *          *          0
119       0      33    82     8      87      14      0            0           130        400        *          *          0
120       1      3     220    30     226     30      113          0           130        400        *          *          0
121       1      33    74     9      74      13      122          0           10         400        *          *          0
122       2      3     220    31     226     34      0            0           10         400        *          *          0
123       1      34    239    40     240     44      124          0           10         400        *          *          0
124       2      30    155    37     158     43      0            0           10         400        *          *          0
125       1      8     6      199    6       201     126          0           150        400        *          *          0
126       2      37    17     219    21      220     0            0           150        400        *          *          0
127       1      37    17     220    19      222     128          0           130        400        *          *          0
128       2      8     7      199    7       201     0            0           130        400        *          *          0
129       1      37    89     89     89      92      130          0           220        400        *          *          0
130       2      38    70     104    70      107     0            0           220        400        *          *          0
131       1      38    69     104    69      107     132          0           150        400        *          *          0
132       2      37    85     89     86      92      0            0           150        400        *          *          0
133       0      39    196    56     201     57      0            0           220        400        *          *          0
134       0      39    78     93     82      95      0            0           220        400        *          *          0
135       0      39    78     93     82      95      0            0           220        400        *          *          0
136       0      38    137    162    143     163     0            0           220        400        *          *          0
137       0      38    71     104    72      107     0            0           220        400        *          *          0
138       0      37    19     217    21      219     0            0           160        400        *          *          0
139       0      38    71     104    72      107     0            0           230        400        *          *          0
140       0      33    186    173    190     177     0            0           130        400        *          *          0
141       0      37    205    36     208     41      0            0           160        400        *          *          0
142       0      45    98     128    108     137     0            0           0          400        *          *          0
143       0      46    98     128    108     137     0            0           0          400        *          *          0
144       0      47    98     128    108     137     0            0           0          400        *          *          0
145       0      48    98     128    108     137     0            0           0          400        *          *          0
146       0      49    98     128    108     137     0            0           0          400        *          *          0
147       0      50    98     128    108     137     0            0           0          400        *          *          0
148       0      45    141    41     146     45      0            0           0          400        *          *          0
149       0      46    141    41     146     45      0            0           0          400        *          *          0
150       0      47    141    41     146     45      0            0           0          400        *          *          0
151       0      48    141    41     146     45      0            0           0          400        *          *          0
152       0      49    141    41     146     45      0            0           0          400        *          *          0
153       0      50    141    41     146     45      0            0           0          400        *          *          0
154       0      45    194    124    198     127     0            0           0          400        *          *          0
155       0      46    194    124    198     127     0            0           0          400        *          *          0
156       0      47    194    124    198     127     0            0           0          400        *          *          0
157       0      48    194    124    198     127     0            0           0          400        *          *          0
158       0      49    194    124    198     127     0            0           0          400        *          *          0
159       0      50    194    124    198     127     0            0           0          400        *          *          0
160       1      45    136    100    137     101     161          0           0          400        *          *          0
161       2      45    170    101    170     103     0            0           0          400        *          *          0
162       1      45    150    117    152     119     163          0           0          400        *          *          0
163       2      45    149    84     152     84      0            0           0          400        *          *          0
164       1      45    149    88     151     89      165          0           0          400        *          *          0
165       2      45    149    122    151     122     0            0           0          400        *          *          0
166       1      45    165    101    166     104     167          0           0          400        *          *          0
167       2      45    132    99     132     103     0            0           0          400        *          *          0
168       1      45    173    65     174     68      169          0           0          400        *          *          0
169       2      45    207    65     207     68      0            0           0          400        *          *          0
170       1      45    186    79     189     81      171          0           0          400        *          *          0
171       2      45    186    47     189     47      0            0           0          400        *          *          0
172       1      45    186    51     188     52      173          0           0          400        *          *          0
173       2      45    186    84     189     84      0            0           0          400        *          *          0
174       1      45    202    66     203     68      175          0           0          400        *          *          0
175       2      45    169    65     169     68      0            0           0          400        *          *          0
176       1      46    136    100    137     101     177          0           0          400        *          *          0
177       2      46    170    101    170     103     0            0           0          400        *          *          0
178       1      46    150    117    152     119     179          0           0          400        *          *          0
179       2      46    149    84     152     84      0            0           0          400        *          *          0
180       1      46    149    88     151     89      181          0           0          400        *          *          0
181       2      46    149    122    151     122     0            0           0          400        *          *          0
182       1      46    165    101    166     104     183          0           0          400        *          *          0
183       2      46    132    99     132     103     0            0           0          400        *          *          0
184       1      46    173    65     174     68      185          0           0          400        *          *          0
185       2      46    207    65     207     68      0            0           0          400        *          *          0
186       1      46    186    79     189     81      187          0           0          400        *          *          0
187       2      46    186    47     189     47      0            0           0          400        *          *          0
188       1      46    186    51     188     52      189          0           0          400        *          *          0
189       2      46    186    84     189     84      0            0           0          400        *          *          0
190       1      46    202    66     203     68      191          0           0          400        *          *          0
191       2      46    169    65     169     68      0            0           0          400        *          *          0
192       1      47    136    100    137     101     193          0           0          400        *          *          0
193       2      47    170    101    170     103     0            0           0          400        *          *          0
194       1      47    150    117    152     119     195          0           0          400        *          *          0
195       2      47    149    84     152     84      0            0           0          400        *          *          0
196       1      47    149    88     151     89      197          0           0          400        *          *          0
197       2      47    149    122    151     122     0            0           0          400        *          *          0
198       1      47    165    101    166     104     199          0           0          400        *          *          0
199       2      47    132    99     132     103     0            0           0          400        *          *          0
200       1      47    173    65     174     68      201          0           0          400        *          *          0
201       2      47    207    65     207     68      0            0           0          400        *          *          0
202       1      47    186    79     189     81      203          0           0          400        *          *          0
203       2      47    186    47     189     47      0            0           0          400        *          *          0
204       1      47    186    51     188     52      205          0           0          400        *          *          0
205       2      47    186    84     189     84      0            0           0          400        *          *          0
206       1      47    202    66     203     68      207          0           0          400        *          *          0
207       2      47    169    65     169     68      0            0           0          400        *          *          0
208       1      48    136    100    137     101     209          0           0          400        *          *          0
209       2      48    170    101    170     103     0            0           0          400        *          *          0
210       1      48    150    117    152     119     211          0           0          400        *          *          0
211       2      48    149    84     152     84      0            0           0          400        *          *          0
212       1      48    149    88     151     89      213          0           0          400        *          *          0
213       2      48    149    122    151     122     0            0           0          400        *          *          0
214       1      48    165    101    166     104     215          0           0          400        *          *          0
215       2      48    132    99     132     103     0            0           0          400        *          *          0
216       1      48    173    65     174     68      217          0           0          400        *          *          0
217       2      48    207    65     207     68      0            0           0          400        *          *          0
218       1      48    186    79     189     81      219          0           0          400        *          *          0
219       2      48    186    47     189     47      0            0           0          400        *          *          0
220       1      48    186    51     188     52      221          0           0          400        *          *          0
221       2      48    186    84     189     84      0            0           0          400        *          *          0
222       1      48    202    66     203     68      223          0           0          400        *          *          0
223       2      48    169    65     169     68      0            0           0          400        *          *          0
224       1      49    136    100    137     101     225          0           0          400        *          *          0
225       2      49    170    101    170     103     0            0           0          400        *          *          0
226       1      49    150    117    152     119     227          0           0          400        *          *          0
227       2      49    149    84     152     84      0            0           0          400        *          *          0
228       1      49    149    88     151     89      229          0           0          400        *          *          0
229       2      49    149    122    151     122     0            0           0          400        *          *          0
230       1      49    165    101    166     104     231          0           0          400        *          *          0
231       2      49    132    99     132     103     0            0           0          400        *          *          0
232       1      49    173    65     174     68      233          0           0          400        *          *          0
233       2      49    207    65     207     68      0            0           0          400        *          *          0
234       1      49    186    79     189     81      235          0           0          400        *          *          0
235       2      49    186    47     189     47      0            0           0          400        *          *          0
236       1      49    186    51     188     52      237          0           0          400        *          *          0
237       2      49    186    84     189     84      0            0           0          400        *          *          0
238       1      49    202    66     203     68      239          0           0          400        *          *          0
239       2      49    169    65     169     68      0            0           0          400        *          *          0
240       1      50    136    100    137     101     241          0           0          400        *          *          0
241       2      50    170    101    170     103     0            0           0          400        *          *          0
242       1      50    150    117    152     119     243          0           0          400        *          *          0
243       2      50    149    84     152     84      0            0           0          400        *          *          0
244       1      50    149    88     151     89      245          0           0          400        *          *          0
245       2      50    149    122    151     122     0            0           0          400        *          *          0
246       1      50    165    101    166     104     247          0           0          400        *          *          0
247       2      50    132    99     132     103     0            0           0          400        *          *          0
248       1      50    173    65     174     68      249          0           0          400        *          *          0
249       2      50    207    65     207     68      0            0           0          400        *          *          0
250       1      50    186    79     189     81      251          0           0          400        *          *          0
251       2      50    186    47     189     47      0            0           0          400        *          *          0
252       1      50    186    51     188     52      253          0           0          400        *          *          0
253       2      50    186    84     189     84      0            0           0          400        *          *          0
254       1      50    202    66     203     68      255          0           0          400        *          *          0
255       2      50    169    65     169     68      0            0           0          400        *          *          0
256       0      41    29     79     31      82      0            0           0          400        *          *          0
257       0      42    104    178    107     181     0            0           0          400        *          *          0
258       0      34    227    41     229     43      0            0           0          400        *          *          0
259       1      2     161    245    166     246     260          0           15         400        *          *          0
260       2      51    26     29     27      30      0            0           15         400        *          *          0
261       1      51    24     29     25      30      262          0           15         400        *          *          0
262       2      2     161    241    163     242     0            0           15         400        *          *          0
263       1      7     13     19     14      20      264          0           10         400        *          *          0
264       2      51    243    149    244     150     0            0           10         400        *          *          0
265       1      51    247    149    248     150     266          0           60         400        *          *          0
266       2      7     16     19     17      20      0            0           60         400        *          *          0
267       0      51    51     224    54      227     0            0           0          400        *          *          0
268       0      51    99     55     100     57      0            0           10         400        *          *          0
269       0      51    191    148    193     150     0            0           10         400        *          *          0
270       0      32    62     150    70      158     0            0           10         400        *          *          0
271       0      52    12     5      14      10      0            0           0          400        *          *          0
272       0      53    31     88     36      95      0            0           0          400        *          *          0
273       0      56    135    105    142     111     0            0           400        400        *          *          0
274       1      56    139    125    139     126     275          0           400        400        *          *          0
275       2      56    189    190    191     193     0            0           400        400        *          *          0
276       1      56    185    187    186     188     273          0           400        400        *          *          0
277       1      56    149    109    150     109     278          0           400        400        *          *          0
278       2      56    204    10     206     14      0            0           400        400        *          *          0
279       1      56    197    12     197     14      273          0           400        400        *          *          0
280       1      56    139    95     140     95      281          0           400        400        *          *          0
281       2      56    65     47     67      48      0            0           400        400        *          *          0
282       1      56    68     52     69      53      273          0           400        400        *          *          0
283       1      56    124    109    124     110     284          0           400        400        *          *          0
284       2      56    62     174    63      179     0            0           400        400        *          *          0
285       1      56    57     176    57      177     273          0           400        400        *          *          0
286       1      2     52     92     54      92      287          0           270        400        *          *          0
287       0      57    222    211    225     212     0            0           270        400        *          *          0
288       1      57    223    215    225     215     289          0           270        400        *          *          0
289       0      2     52     88     54      89      0            0           270        400        *          *          0
290       1      57    171    23     171     25      291          0           270        400        *          *          0
291       0      58    160    24     161     27      0            0           270        400        *          *          0
292       1      58    167    24     167     25      293          0           270        400        *          *          0
293       0      57    174    23     175     25      0            0           270        400        *          *          0
450       0      40    220    15     235     30      0            0           0          400        *          *          0
451       0      40    220    15     235     30      0            0           0          400        *          *          0
452       0      40    220    15     235     30      0            0           0          400        *          *          0
453       0      40    220    15     235     30      0            0           0          400        *          *          0
455       0      40    220    15     235     30      0            0           0          400        *          *          0
456       0      40    220    15     235     30      0            0           0          400        *          *          0
457       0      40    220    15     235     30      0            0           0          400        *          *          0
end
