/////////////////////////////////////////////////////////////////////////////////
// Creado con Mu Editor MagicHand
/////////////////////////////////////////////////////////////////////////////////


0
//Index	Slot	Skill	X	Y	Serial	Opt	Drop	Nombre                                  Lvl	DmgMin	DmgMax	Speed	Dur	MagiDur	MagiPwr	ReqLvl	Str	Agi	Ene	Vit	Com	Tipo	DwSmGm	DkBkBm	FeMeHe	MgDm	DlLe	SBsDiM
13	0	22	1	3	1	1	1	"Double Blade"  			48	48	56	30	43	0	0	0	70	70	0	0	0	0	0	1	1	1	0	0
14	0	22	1	3	1	1	1	"Lighting Sword"  			59	59	67	30	50	0	0	0	90	50	0	0	0	0	0	1	1	1	0	0
15	0	23	2	3	1	1	1	"Giant Sword"  				52	60	85	20	60	0	0	0	140	0	0	0	0	0	0	1	0	1	0	0
16	0	22	1	4	1	1	1	"Sword of Destruction"  		82	82	90	35	84	0	0	0	160	60	0	0	0	0	0	1	0	1	0	0
17	0	23	2	4	1	1	1	"Dark Breaker"  			104	128	153	40	89	0	0	0	180	50	0	0	0	0	0	2	0	0	0	0
18	0	23	2	3	1	1	1	"Thunder Blade"  			105	140	168	40	86	0	0	0	180	50	0	0	0	0	0	0	0	1	0	0
19	0	22	1	4	1	1	1	"Divine Sword of Archangel"  		86	220	230	45	168	0	0	0	140	50	0	0	0	0	0	1	0	1	1	0
20	0	22	1	4	1	1	1	"Knight Blade"  			140	107	115	35	200	0	0	0	116	38	0	0	0	0	0	2	0	0	0	0
21	0	56	2	4	1	1	1	"Dark Reign Blade"  			140	115	142	40	100	0	115	0	116	53	9	0	0	0	0	0	0	1	0	0
22	0	22	1	4	1	1	1	"Bone Blade"  				147	255	255	40	200	0	0	380	100	35	0	0	0	0	0	2	0	0	0	0
23	0	56	2	4	1	1	1	"Explosion Blade"  			147	127	155	45	110	0	134	380	98	48	7	0	0	0	0	0	0	1	0	0
24	0	22	2	4	1	1	1	"Daybreak"  				115	182	218	40	190	0	0	0	192	30	0	0	0	0	0	2	0	0	0	0
25	0	56	2	4	1	1	1	"Sword Dancer"  			115	109	136	40	190	0	108	0	136	57	9	0	0	0	0	0	0	1	0	0
26	0	22	1	4	1	1	1	"Flameberge"  				137	115	126	40	190	0	0	380	193	53	0	0	0	0	0	2	0	0	0	0
27	0	22	1	4	1	1	1	"Sword Breaker"  			133	91	99	35	190	0	0	380	53	176	0	0	0	0	0	2	0	0	0	0
28	0	56	1	4	1	1	1	"Rune Bastard Sword"  			139	98	122	45	190	0	109	380	91	73	17	0	0	0	0	0	0	1	0	0
31	0	56	2	4	1	1	1	"Rune Blade"  				100	104	130	35	193	0	0	0	135	62	9	0	0	0	0	0	0	1	0	0
32	0	22	1	4	1	1	0	"Sword Vulcanus"  			100	210	250	230	255	0	0	0	150	90	90	0	0	0	0	1	0	1	0	0
33	0	22	1	4	1	1	0	"Cyrus Sword"  				100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
34	0	22	1	4	1	1	0	"Imperial Sword"  			100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
35	0	22	1	4	1	1	0	"NightMare Sword"  			100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
36	0	22	1	4	1	1	0	"Reliquia 02 Sword"  			255	255	250	255	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
37	0	22	1	4	1	1	0	"Fight Sword"  				100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
38	0	22	1	4	1	1	0	"Xentarlion Sword"  			100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
39	0	22	1	4	1	1	0	"Ultimate Sword"  			100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
40	0	22	1	4	1	1	0	"God Of War Sword"  			100	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
41	0	22	1	4	1	1	0	"Reliquia 01  Sword"  			155	210	250	255	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
42	0	22	1	4	1	1	0	"Demon Sword"  				155	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
43	0	22	1	4	1	1	0	"Darck [Ed.Limitado]  Sword"  		255	255	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
44	0	22	1	4	1	1	0	"Chronus Sword"  			130	150	250	200	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
45	0	22	1	4	1	1	0	"Demon Blue Sword"  			155	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
46	0	22	1	4	1	1	0	"NATAL Sword"  				150	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
47	0	22	1	4	1	1	0	"Ice Sword"  				150	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
48	0	22	1	4	1	1	0	"Warrior  Sword"  			150	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
49	0	22	1	4	1	1	0	"Natal [M]  Sword"  			150	210	250	230	255	0	0	380	150	90	90	0	0	0	0	1	0	1	0	0
50	0	22	1	4	1	1	0	"Obscure  Sword"  			130	145	165	230	250	0	0	380	135	62	9	0	0	0	0	1	0	1	0	0
51	0	22	1	4	1	1	0	"Angel Power Sword"  			130	255	200	230	250	0	0	380	135	62	9	0	0	0	0	1	0	1	0	0
52	0	22	1	4	1	1	0	"Heavy  Sword"  			130	145	165	230	250	0	0	380	135	62	9	0	0	0	0	1	0	1	0	0
53	0	22	1	4	1	1	0	"King Lord Sword"  			200	252	255	230	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
54	0	22	1	4	1	1	0	"King Lord  Sword"  			200	252	255	230	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
55	0	22	1	4	1	1	0	"Black [C] Sword"  			255	255	255	230	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
56	0	22	1	4	1	1	0	"Warlock [HL] Sword"  			255	252	255	230	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
57	0	22	1	4	1	1	0	"Nasus Sword"  				255	252	255	230	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
58	0	22	1	4	1	1	0	"Power Sword"  				255	252	255	255	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
59	9	0	1	4	1	1	0	"Ring of Konohaa [R]"  			50	100	0	200	250	0	0	380	135	62	90	0	0	0	1	1	1	1	3	1
60	10	0	1	4	1	1	0	"Pendant of Konohaa [R]"  		50	100	0	200	250	0	0	380	135	62	90	0	0	0	1	1	1	1	3	1
61	0	22	1	4	1	1	0	"Lord Rimbros Sword"  			255	252	255	255	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
62	0	22	1	4	1	1	0	"Lord Devil Sword"  			255	252	255	255	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
63	0	22	1	4	1	1	0	"Dracma [R] Sword"  			255	252	255	255	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
64	0	22	1	4	1	1	0	"Eros [R] Sword"  			255	252	255	255	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
65	0	22	1	4	1	1	0	"Apollo [R] Sword"  			255	252	255	255	250	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
66	0	22	1	4	1	1	0	"Caos [Rei] Sword"  			255	252	255	255	250	0	0	380	135	62	90	0	0	0	1	1	1	1	1	1
67	0	22	1	4	1	1	0	"Fire Golden [v.2] Sword"  		255	255	255	255	240	0	0	380	135	62	90	0	0	0	0	1	0	1	0	0
112	0	22	1	4	1	1	0	"Roca Sword"  				130	145	165	230	250	0	0	380	135	62	9	0	0	0	0	1	0	1	0	0
130	0	22	1	4	1	1	0	"Especial Sword 01"  			200	250	255	90	90	0	175	380	135	62	90	0	0	0	0	1	0	1	0	0
131	0	22	1	4	1	1	0	"Especial Sword 02[R]"  		255	252	255	90	90	0	255	380	135	62	90	0	0	0	0	1	0	1	0	0
132	0	22	1	4	1	1	0	"Especial Sword 03 [R]"  		255	252	255	130	90	0	255	380	135	62	90	0	0	0	0	1	0	1	0	0
133	0	22	1	4	1	1	0	"Assassine Sword"			200	250	255	130	90	0	255	380	135	62	90	0	0	0	0	1	0	0	0	0
134	0	22	1	4	1	1	0	"Soword the black"			200	250	255	130	90	0	255	380	135	62	90	0	0	0	0	1	0	1	0	0
135	0	22	1	4	1	1	0	"Sowrd RLk v5 Ed.L"			200	250	255	130	90	0	255	380	135	62	90	0	0	0	0	1	0	1	0	0
136	0	22	1	4	1	1	0	"Sword RLk v6 Ed.L"			200	250	255	200	200	0	255	380	135	62	90	0	0	0	0	1	0	1	0	0
end
1
//Index	Slot	Skill	X	Y	Serial	Opt	Drop	Nombre                                  Lvl	DmgMin	DmgMax	Speed	Dur	MagiDur	MagiPwr	ReqLvl	Str	Agi	Ene	Vit	Com	Tipo	DwSmGm	DkBkBm	FeMeHe	MgDm	DlLe	SBsDiM
0	0	0	1	3	1	1	1	"Small Axe"  				1	1	6	20	18	0	0	0	50	0	0	0	0	0	1	1	1	1	1	1
1	0	0	1	3	1	1	1	"Hand Axe"  				4	4	9	30	20	0	0	0	70	0	0	0	0	0	1	1	1	1	1	1
2	0	19	1	3	1	1	1	"Double Axe"  				14	14	24	20	26	0	0	0	90	0	0	0	0	0	0	1	0	1	1	0
3	0	19	1	3	1	1	1	"Tomahawk"  				18	18	28	30	28	0	0	0	100	0	0	0	0	0	0	1	0	1	1	0
4	0	0	1	3	1	1	1	"Elven Axe"  				26	26	38	40	32	0	0	0	50	70	0	0	0	0	1	0	1	1	0	1
5	0	19	2	3	1	1	1	"Battle Axe"  				30	36	44	20	36	0	0	0	120	0	0	0	0	0	0	1	1	1	0	0
6	0	19	2	3	1	1	1	"Nikea Axe"  				34	38	50	30	44	0	0	0	130	0	0	0	0	0	0	1	1	1	0	0
7	0	19	2	3	1	1	1	"Larkan Axe"  				46	54	67	25	55	0	0	0	140	0	0	0	0	0	0	1	0	1	0	0
8	0	19	2	3	1	1	1	"Crescent Axe"  			54	69	89	30	65	0	0	0	100	40	0	0	0	0	1	1	0	1	0	0
9	0	19	1	3	1	1	0	"Axe Dragon Gold"  			54	80	100	30	150	0	0	0	100	40	0	0	0	0	0	1	0	1	0	0
10	0	19	1	3	1	1	0	"Axe Ice"  				54	80	100	30	150	0	0	0	100	40	0	0	0	0	0	1	0	1	0	0
11	0	19	1	3	1	1	0	"Warrior Axe"  				154	80	100	30	150	0	0	380	100	40	0	0	0	0	0	1	0	1	0	0
12	0	19	1	3	1	1	0	"God Axe"  				154	80	100	30	150	0	0	380	100	40	0	0	0	0	0	1	0	1	0	0
13	0	19	1	3	1	1	0	"Ice Axe"  				154	80	100	30	150	0	0	380	100	40	0	0	0	0	0	1	0	1	0	0
14	0	19	1	3	1	1	0	"Madara Sword"  			154	80	100	30	150	0	0	380	100	40	0	0	0	0	0	1	0	1	0	0
15	0	19	1	3	1	1	0	"Tobi Sword"  				154	80	100	30	150	0	0	380	100	40	0	0	0	0	0	1	0	1	0	0
16	0	19	1	3	1	1	0	"Naruto Rikudo Sword"  			154	80	100	30	150	0	0	380	100	40	0	0	0	0	0	1	0	1	0	0
17	0	19	1	3	1	1	0	"Axe RLk v5 Ed.L"			200	250	255	30	150	255	250	380	100	40	0	0	0	0	0	1	0	1	1	0	
18	0	19	1	3	1	1	0	"Axe RLk v6 Ed.L"			200	250	255	30	200	255	250	380	100	40	0	0	0	0	0	1	0	1	1	0
end
2
//Index	Slot	Skill	X	Y	Serial	Opt	Drop	Nombre                                  Lvl	DmgMin	DmgMax	Speed	Dur	MagiDur	MagiPwr	ReqLvl	Str	Agi	Ene	Vit	Com	Tipo	DwSmGm	DkBkBm	FeMeHe	MgDm	DlLe	SBsDiM
0	0	0	1	3	1	1	1	"Mace"  				7	7	13	15	21	0	0	0	100	0	0	0	0	0	0	1	0	1	1	0
1	0	19	1	3	1	1	1	"Morning Star"  			13	13	22	15	25	0	0	0	100	0	0	0	0	0	0	1	0	1	1	0
2	0	0	1	3	1	1	1	"Flail"  				22	22	32	15	32	0	0	0	80	50	0	0	0	0	0	1	0	1	1	0
3	0	19	2	3	1	1	1	"Great Hammer"  			38	45	56	15	50	0	0	0	150	0	0	0	0	0	0	1	0	1	0	0
4	0	19	2	3	1	1	1	"Crystal Morning Star"  		66	78	107	30	72	0	0	0	130	0	0	0	0	0	1	1	1	1	0	0
5	0	23	2	4	1	1	1	"Crystal Sword"  			72	89	120	40	76	0	0	0	130	70	0	0	0	0	1	1	1	1	0	0
6	0	23	2	4	1	1	0	"Chaos Dragon Axe"  			75	102	130	35	80	0	0	0	140	50	0	0	0	0	0	1	0	1	0	0
7	0	0	1	3	1	1	1	"Elemental Mace"  			90	62	80	50	50	0	0	0	15	42	0	0	0	0	0	0	2	0	0	0
8	0	66	1	3	1	1	1	"Battle Scepter"  			54	41	52	45	40	0	3	0	80	17	0	0	0	0	0	0	0	0	1	0
9	0	66	1	3	1	1	1	"Master Scepter"  			72	57	68	45	45	0	20	0	87	18	0	0	0	0	0	0	0	0	1	0
10	0	66	1	4	1	1	1	"Great Scepter"  			82	74	85	45	65	0	35	0	100	21	0	0	0	0	0	0	0	0	1	0
11	0	66	1	4	1	1	1	"Lord Scepter"  			98	91	102	40	72	0	52	0	105	23	0	0	0	0	0	0	0	0	1	0
12	0	66	1	4	1	1	1	"Great Lord Scepter"  			140	108	120	40	84	0	67	0	90	20	0	0	0	0	0	0	0	0	1	0
13	0	66	1	4	1	1	1	"Divine Scepter of Archangel"  		150	200	223	45	90	0	138	0	75	16	0	0	0	0	0	0	0	0	1	0
14	0	66	1	4	1	1	1	"Soleil Sceptor"  			146	130	153	40	95	0	84	380	80	15	0	0	0	0	0	0	0	0	1	0
15	0	66	1	4	1	1	1	"Shining Scepter"  			110	99	111	40	78	0	60	0	108	22	0	0	0	0	0	0	0	0	1	0
16	0	0	1	3	1	1	1	"Frost Mace"  				121	106	146	50	80	0	0	380	27	19	0	0	0	0	0	0	2	0	0	0
17	0	66	1	4	1	1	1	"Absolute Scepter"  			135	114	132	40	90	0	72	380	119	24	0	0	0	0	0	0	0	0	1	0
//18	0	66	1	4	1	1	0	"Striker Scepter"  			147	112	124	40	86	0	70	0	87	20	0	0	0	0	0	0	0	0	1	0
20	0	66	1	4	1	1	0	"Majestic Scepter"  			147	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
21	0	66	1	4	1	1	0	"Reliquia 02 Scepter"  			255	255	255	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
22	0	66	1	4	1	1	0	"Ultimate Scepter"  			255	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
23	0	66	1	4	1	1	0	"Ice  Scepter"  			255	255	255	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
24	0	66	1	4	1	1	0	"Demon Scepter"  			147	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
25	0	66	1	4	1	1	0	"Darck [Ed.Limitado] Scepter"  		255	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
26	0	66	1	4	1	1	0	"Warrior Scepter"  			147	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
27	0	66	1	4	1	1	0	"Demon Blue Scepter"  			255	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
28	0	66	1	4	1	1	0	"Reliquia 01  Scepter"  		147	122	135	210	255	0	0	380	100	35	0	0	0	0	0	0	0	0	1	0
29	0	66	1	4	1	1	0	"Obscure  Scepter"  			255	230	255	210	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
30	0	66	1	4	1	1	0	"Angel Power  Scepter"  		255	230	255	210	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
31	0	66	1	4	1	1	0	"Heavy [E] Scepter"  			255	230	255	210	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
32	0	66	1	4	1	1	0	"King Lord Scepter"  			198	240	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
33	0	66	1	4	1	1	0	"Black [C] Scepter"  			198	240	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
34	0	66	1	4	1	1	0	"Nasus Scepter"  			255	240	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
35	0	66	1	4	1	1	0	"Power Scepter"  			255	240	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
36	0	66	1	4	1	1	0	"Lord Rimbros Scepter "  		255	255	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
37	0	66	1	4	1	1	0	"Lord Devil Scepter "  			255	255	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
38	0	66	1	4	1	1	0	"Natal Scepter "  			255	210	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
39	0	66	1	4	1	1	0	"Fire Golden [v.2] Scepter"  		255	214	255	195	255	0	0	380	100	80	0	0	0	0	0	0	0	0	1	0
63	0	66	1	4	1	1	0	"Dracma [R] Scepter"  			200	252	255	255	250	0	0	380	135	0	90	0	0	0	0	0	0	0	1	0
64	0	66	1	4	1	1	0	"Eros [R] Scepter"  			200	252	255	255	250	0	0	380	135	0	90	0	0	0	0	0	0	0	1	0
65	0	66	1	4	1	1	0	"Apollo [R] Scepter"  			200	252	255	255	250	0	0	380	135	0	90	0	0	0	0	0	0	0	1	0
66	0	66	1	4	1	1	0	"MuWide [Rei] Scepter"  		200	252	255	255	250	0	0	380	135	0	90	0	0	0	0	0	0	0	1	0
100	0	22	1	4	1	1	0	"Madara Sword "  			150	255	255	100	100	100	100	380	100	100	100	0	0	0	0	1	0	0	0	0
101	0	66	1	4	1	1	0	"Roca Scepter"  			198	240	255	195	255	0	195	380	100	80	0	0	0	0	0	0	0	0	1	0
102	0	66	1	4	1	1	0	"Insanity Scepter"  			157	230	255	65	100	0	165	0	100	80	0	0	0	0	0	0	0	0	1	0
103	0	66	1	4	1	1	0	"Especial 02 Scepter[R]"  		195	240	255	65	255	0	195	380	100	80	0	0	0	0	0	0	0	0	1	0
//104	0	66	1	4	1	1	0	"Especial 03 Scepter[R]"  		195	250	255	120	255	255	255	380	100	80	0	0	0	0	0	0	0	0	1	0
104	0	66	1	4	1	1	0	"Assassine Scepter"			195	250	255	135	255	255	255	380	200	80	0	0	0	0	0	0	0	0	1	0		
106	0	66	1	4	1	1	0	"Scepter The Black"			195	250	255	135	255	255	255	380	200	80	0	0	0	0	0	0	0	0	1	0
end
3
//Index	Slot	Skill	X	Y	Serial	Opt	Drop	Nombre                                  Lvl	DmgMin	DmgMax	Speed	Dur	MagiDur	MagiPwr	ReqLvl	Str	Agi	Ene	Vit	Com	Tipo	DwSmGm	DkBkBm	FeMeHe	MgDm	DlLe	SBsDiM
0	0	22	2	4	1	1	1	"Light Spear"  				42	50	63	25	56	0	0	0	60	70	0	0	0	0	0	1	1	1	0	0
1	0	0	2	4	1	1	1	"Spear"  				23	30	41	30	42	0	0	0	70	50	0	0	0	0	0	1	1	1	0	0
2	0	0	2	4	1	1	1	"Dragon Lance"  			15	21	33	30	34	0	0	0	70	50	0	0	0	0	0	1	1	1	0	0
3	0	0	2	4	1	1	1	"Giant Trident"  			29	35	43	25	44	0	0	0	90	30	0	0	0	0	0	1	1	1	0	0
4	0	20	2	4	1	1	1	"Serpent Spear"  			46	58	80	20	58	0	0	0	90	30	0	0	0	0	0	1	1	1	0	0
5	0	0	2	4	1	1	1	"Double Poleaxe"  			13	19	31	30	38	0	0	0	70	50	0	0	0	0	0	1	1	1	0	0
6	0	0	2	4	1	1	1	"Halberd"  				19	25	35	30	40	0	0	0	70	50	0	0	0	0	0	1	1	1	0	0
7	0	22	2	4	1	1	1	"Berdysh"  				37	42	54	30	54	0	0	0	80	50	0	0	0	0	0	1	1	1	0	0
8	0	22	2	4	1	1	1	"Great Scythe"  			54	71	92	25	68	0	0	0	90	50	0	0	0	0	0	1	1	1	0	0
9	0	22	2	4	1	1	1	"Bill of Balrog"  			63	76	102	25	74	0	0	0	80	50	0	0	0	0	0	1	1	1	0	0
10	0	22	2	4	1	1	1	"Dragon Spear"  			92	112	140	35	85	0	0	0	170	60	0	0	0	0	0	2	0	0	0	0
//11	0	22	2	4	1	1	0	"Brova"  				147	190	226	40	90	0	0	0	152	25	0	0	0	0	0	2	0	1	0	0
12	10	0	1	1	1	1	0	"Ring of Konoha"  			30	0	0	255	255	0	0	380	0	0	0	0	0	0	0	1	1	1	1	1
13	9	0	1	1	1	1	0	"Pendant of Konoha"  			42	0	0	100	100	0	0	380	0	0	0	0	0	0	0	1	1	1	1	1
end
4
//Index	Slot	Skill	X	Y	Serial	Opt	Drop	Nombre                                  Lvl	DmgMin	DmgMax	Speed	Dur	MagiDur	MagiPwr	ReqLvl	Str	Agi	Ene	Vit	Com	Tipo	DwSmGm	DkBkBm	FeMeHe	MgDm	DlLe	SBsDiM
0	1	24	2	3	1	1	1	"Short Bow"  				2	3	5	30	255	0	0	0	20	80	0	0	0	0	0	0	1	0	0	0
1	1	24	2	3	1	1	1	"Bow"  					8	9	13	30	255	0	0	0	30	90	0	0	0	0	0	0	1	0	0	0
2	1	24	2	3	1	1	1	"Insanity[Ed.L] Bow"  			147	170	200	45	200	0	0	0	30	90	0	0	0	0	0	0	1	0	0	0
3	1	24	2	3	1	1	1	"Battle Bow"  				26	28	37	30	255	0	0	0	30	90	0	0	0	0	0	0	1	0	0	0
4	1	24	2	4	1	1	1	"Tiger Bow"  				40	42	52	30	255	0	0	0	30	100	0	0	0	0	0	0	1	0	0	0
5	1	24	2	4	1	1	1	"Silver Bow"  				56	59	71	40	255	0	0	0	30	100	0	0	0	0	0	0	1	0	0	0
6	1	24	2	4	1	1	0	"Chaos Nature Bow"  			75	88	106	35	255	0	0	0	40	150	0	0	0	0	0	0	1	0	0	0
7	1	0	1	1	0	0	0	"Bolt"  				0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8	0	24	2	2	1	1	1	"Crossbow"  				4	5	8	40	255	0	0	0	20	90	0	0	0	0	0	0	1	0	0	0
9	0	24	2	2	1	1	1	"Divine Master Crossbow"  		147	177	200	40	255	0	0	380	30	90	15	0	0	0	0	0	1	0	0	0
10	0	24	2	2	1	1	1	"Arquebus"  				20	22	30	40	255	0	0	0	30	90	0	0	0	0	0	0	1	0	0	0
11	0	24	2	3	1	1	1	"Light Crossbow"  			32	35	44	40	255	0	0	0	30	90	0	0	0	0	0	0	1	0	0	0
12	0	24	2	3	1	1	1	"Serpent Crossbow"  			48	50	61	40	255	0	0	0	30	100	0	0	0	0	0	0	1	0	0	0
13	0	24	2	3	1	1	1	"Bluewing Crossbow"  			68	68	82	40	255	0	0	0	40	110	0	0	0	0	0	0	1	0	0	0
14	0	24	2	3	1	1	1	"Aquagold Crossbow"  			72	78	92	30	255	0	0	0	50	130	0	0	0	0	0	0	1	0	0	0
15	0	0	1	1	0	0	0	"Arrow"  				0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
16	0	24	2	4	1	1	1	"Saint Crossbow"  			84	102	127	35	255	0	0	0	50	160	0	0	0	0	0	0	1	0	0	0
17	1	24	2	4	1	1	1	"Celestial Bow"  			92	127	155	35	255	0	0	0	54	198	0	0	0	0	0	0	2	0	0	0
18	0	24	2	3	1	1	1	"Divine Crossbow of Archangel"  	100	224	246	45	200	0	0	0	40	110	0	0	0	0	0	0	1	0	0	0
19	0	24	2	3	1	1	1	"Great Reign Crossbow"  		100	150	172	40	255	0	0	0	61	285	0	0	0	0	0	0	2	0	0	0
20	1	24	2	4	1	1	1	"Arrow Viper Bow"  			135	166	190	45	255	0	0	0	52	245	0	0	0	0	0	0	2	0	0	0
21	1	24	2	4	1	1	1	"Sylph Wind Bow"  			147	177	200	45	255	0	0	380	46	210	0	0	0	0	0	0	2	0	0	0
22	1	24	2	4	1	1	1	"Albatross Bow"  			110	155	177	45	255	0	0	0	60	265	0	0	0	0	0	0	2	0	0	0
23	1	24	2	4	1	1	1	"Dark Stinger"  			134	162	184	45	255	0	0	380	32	209	0	0	0	0	0	0	2	0	0	0
24	1	24	2	4	1	1	1	"Aileen Bowr"  				147	170	194	45	255	0	0	0	49	226	0	0	0	0	0	0	2	0	0	0
34	1	24	2	4	1	1	0	"Ultimate v2 [F] Bow"  			147	177	200	45	255	0	0	380	46	210	0	0	0	0	0	0	2	0	0	0
35	1	25	2	4	1	1	0	"King Lord (Elfa) Bow"  		195	200	235	95	255	0	0	380	46	200	0	0	0	0	0	0	2	0	0	0
36	1	25	2	4	1	1	0	"Powers Bow"  				195	200	235	95	255	0	0	380	46	200	0	0	0	0	0	0	2	0	0	0
37	1	24	2	4	1	1	0	"Natal [F] Bow"  			195	200	235	95	255	0	0	380	46	200	0	0	0	0	0	0	2	0	0	0
40	1	24	2	4	1	1	0	"Angel Power [F] Bow"  			195	200	235	95	255	0	0	380	46	200	0	0	0	0	0	0	2	0	0	0
41	1	24	2	4	1	1	0	"Special Bow 02[R]"  			195	200	235	95	255	0	0	380	46	210	0	0	0	0	0	0	2	0	0	0
42	1	24	2	4	1	1	0	"Especial Bow 03[R]"  			195	200	255	120	255	0	0	380	46	210	0	0	0	0	0	0	2	0	0	0
end
5
//Index	Slot	Skill	X	Y	Serial	Opt	Drop	Nombre                                  Lvl	DmgMin	DmgMax	Speed	Dur	MagiDur	MagiPwr	ReqLvl	Str	Agi	Ene	Vit	Com	Tipo	DwSmGm	DkBkBm	FeMeHe	MgDm	DlLe	SBsDiM
