0
//Index   Name                                 TargetType   ScopeType   ScopeValue   Delay   Slot1   Slot2   Slot3   Slot4   Slot5
76        "Monster Skill Unit"                 1            *           0            300     47      27      5       *       * 
77        "Monster Skill Unit"                 1            *           0            300     47      74      27      *       * 
78        "Monster Skill Unit"                 1            0           10           300     75      *       *       *       * 
79        "Monster Skill Unit"                 1            0           10           300     76      77      *       *       * 
80        "Monster Skill Unit"                 1            0           10           300     72      77      *       *       * 
81        "Monster Skill Unit"                 1            0           10           300     25      8       *       *       * 
82        "Monster Skill Unit"                 1            *           0            300     78      *       *       *       * 
83        "Monster Skill Unit"                 1            *           0            300     79      *       *       *       * 
84        "Monster Skill Unit"                 1            *           0            300     80      81      *       *       * 
85        "Monster Skill Unit"                 1            *           0            300     82      *       *       *       * 
86        "Monster Skill Unit"                 1            *           0            300     83      *       *       *       * 
87        "Monster Skill Unit"                 1            *           0            300     84      85      *       *       * 
88        "Monster Skill Unit"                 1            *           0            300     86      *       *       *       * 
89        "Monster Skill Unit"                 1            *           0            300     87      *       *       *       * 
90        "Monster Skill Unit"                 1            *           0            300     88      89      *       *       * 
91        "Monster Skill Unit"                 1            *           0            300     90      *       *       *       * 
92        "Monster Skill Unit"                 1            *           0            300     91      *       *       *       * 
93        "Monster Skill Unit"                 1            *           0            300     92      93      *       *       * 
94        "Monster Skill Unit"                 1            *           0            300     94      *       *       *       * 
95        "Monster Skill Unit"                 1            *           0            300     95      *       *       *       * 
96        "Monster Skill Unit"                 1            *           0            300     96      97      *       *       * 
end
