0
//Monster   Name                                 Type1   Unit1   Type2   Unit2   Type3   Unit3   Type4   Unit4   Type5   Unit5   Type6   Unit6   Type7   Unit7   Type8   Unit8   Type9   Unit9   Type10   Unit10
565         "Dark Iron Knight"                   *       *       0       77      *       *       *       *       *       *       *       *       *       *       *       *       *       *       *        *
566         "Tercia"                             0       78      0       79      0       80      0       81      *       *       *       *       *       *       *       *       *       *       *        * 
592         "Undine"                             *       *       0       85      0       86      0       87      *       *       *       *       *       *       *       *       *       *       *        * 
593         "Salamander"                         *       *       0       82      0       83      0       84      *       *       *       *       *       *       *       *       *       *       *        * 
594         "Sylphid"                            *       *       0       91      0       92      0       93      *       *       *       *       *       *       *       *       *       *       *        * 
595         "Gnome"                              *       *       0       88      0       89      0       90      *       *       *       *       *       *       *       *       *       *       *        * 
596         "Hellraiser"                         *       *       0       94      0       95      0       96      *       *       *       *       *       *       *       *       *       *       *        * 
611         "Sellihoden"                         *       *       0       82      0       83      0       84      *       *       *       *       *       *       *       *       *       *       *        * 
612         "Ukanva"                             *       *       0       85      0       86      0       87      *       *       *       *       *       *       *       *       *       *       *        * 
613         "Silla"                              *       *       0       91      0       92      0       93      *       *       *       *       *       *       *       *       *       *       *        * 
614         "Normus"                             *       *       0       88      0       89      0       90      *       *       *       *       *       *       *       *       *       *       *        * 
615         "Muff"                               *       *       0       94      0       95      0       96      *       *       *       *       *       *       *       *       *       *       *        * 
632         "Cursed Undine"                      *       *       0       85      0       86      0       87      *       *       *       *       *       *       *       *       *       *       *        * 
633         "Cursed Salamander"                  *       *       0       82      0       83      0       84      *       *       *       *       *       *       *       *       *       *       *        * 
634         "Cursed Sylphid"                     *       *       0       91      0       92      0       93      *       *       *       *       *       *       *       *       *       *       *        * 
635         "Cursed Gnome"                       *       *       0       88      0       89      0       90      *       *       *       *       *       *       *       *       *       *       *        * 
636         "Cursed Hellraiser"                  *       *       0       94      0       95      0       96      *       *       *       *       *       *       *       *       *       *       *        * 
637         "Cursed Sellihoden"                  *       *       0       82      0       83      0       84      *       *       *       *       *       *       *       *       *       *       *        * 
638         "Cursed Ukanva"                      *       *       0       85      0       86      0       87      *       *       *       *       *       *       *       *       *       *       *        * 
639         "Cursed Silla"                       *       *       0       91      0       92      0       93      *       *       *       *       *       *       *       *       *       *       *        * 
640         "Cursed Normus"                      *       *       0       88      0       89      0       90      *       *       *       *       *       *       *       *       *       *       *        * 
641         "Cursed Muff"                        *       *       0       94      0       95      0       96      *       *       *       *       *       *       *       *       *       *       *        * 
end
