0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
14       0      22      1       3        1            1            1          "Lighting Sword"                     59      59          67          30            50           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0
15       0      23      2       3        1            1            1          "Giant Sword"                        52      60          85          20            60           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0
16       0      22      1       4        1            1            1          "Sword of Destruction"               82      82          90          35            84           0                 0                 0          160           60             0           0             0               0      0       1       0       1       0       0
17       0      23      2       4        1            1            1          "Dark Breaker"                       104     128         153         40            89           0                 0                 0          180           50             0           0             0               0      0       2       0       0       0       0
18       0      23      2       3        1            1            1          "Thunder Blade"                      105     140         168         40            86           0                 0                 0          180           50             0           0             0               0      0       0       0       1       0       0
19       0      22      1       4        1            1            1          "Divine Sword of Archangel"          86      220         230         45            168          0                 0                 0          140           50             0           0             0               0      0       1       0       1       1       0
20       0      22      1       4        1            1            1          "Knight Blade"                       140     107         115         35            90           0                 0                 0          116           38             0           0             0               0      0       2       0       0       0       0
21       0      56      2       4        1            1            1          "Dark Reign Blade"                   140     115         142         40            100          0                 115               0          116           53             9           0             0               0      0       0       0       1       0       0
22       0      22      1       4        1            1            1          "Bone Blade"                         147     122         135         40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0
23       0      56      2       4        1            1            1          "Explosion Blade"                    147     127         155         45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0
24       0      22      2       4        1            1            1          "Daybreak"                           115     182         218         40            90           0                 0                 0          192           30             0           0             0               0      0       2       0       0       0       0
25       0      56      2       4        1            1            1          "Sword Dancer"                       115     109         136         40            90           0                 108               0          136           57             9           0             0               0      0       0       0       1       0       0
26       0      22      1       4        1            1            1          "Flameberge"                         137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       0       0       0
27       0      22      1       4        1            1            1          "Sword Breaker"                      133     91          99          35            90           0                 0                 380        53            176            0           0             0               0      0       2       0       0       0       0
28       0      56      1       4        1            1            1          "Rune Bastard Sword"                 139     98          122         45            90           0                 109               380        91            73             17          0             0               0      0       0       0       1       0       0
31       0      56      2       4        1            1            1          "Rune Blade"                         100     104         130         35            93           0                 104               0          135           62             9           0             0               0      0       0       0       1       0       0
end

1
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        0      0       1       3        1            1            1          "Small Axe"                          1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Hand Axe"                           4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Double Axe"                         14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0
3        0      19      1       3        1            1            1          "Tomahawk"                           18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0
4        0      0       1       3        1            1            1          "Elven Axe"                          26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       0       1
5        0      19      2       3        1            1            1          "Battle Axe"                         30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       1       1       1       0       0
6        0      19      2       3        1            1            1          "Nikea Axe"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       1       1       1       0       0
7        0      19      2       3        1            1            1          "Larkan Axe"                         46      54          67          25            55           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0
8        0      19      2       3        1            1            1          "Crescent Axe"                       54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       0       0
end

2
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        0      0       1       3        1            1            1          "Mace"                               7       7           13          15            21           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0
1        0      19      1       3        1            1            1          "Morning Star"                       13      13          22          15            25           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0
2        0      0       1       3        1            1            1          "Flail"                              22      22          32          15            32           0                 0                 0          80            50             0           0             0               0      0       1       0       1       1       0
3        0      19      2       3        1            1            1          "Great Hammer"                       38      45          56          15            50           0                 0                 0          150           0              0           0             0               0      0       1       0       1       0       0
4        0      19      2       3        1            1            1          "Crystal Morning Star"               66      78          107         30            72           0                 0                 0          130           0              0           0             0               0      1       1       1       1       0       0
5        0      23      2       4        1            1            1          "Crystal Sword"                      72      89          120         40            76           0                 0                 0          130           70             0           0             0               0      1       1       1       1       0       0
6        0      23      2       4        1            1            0          "Chaos Dragon Axe"                   75      102         130         35            80           0                 0                 0          140           50             0           0             0               0      0       1       0       1       0       0
7        0      0       1       3        1            1            1          "Elemental Mace"                     90      62          80          50            50           0                 0                 0          15            42             0           0             0               0      0       0       2       0       0       0
8        0      66      1       3        1            1            1          "Battle Scepter"                     54      41          52          45            40           0                 3                 0          80            17             0           0             0               0      0       0       0       0       1       0
9        0      66      1       3        1            1            1          "Master Scepter"                     72      57          68          45            45           0                 20                0          87            18             0           0             0               0      0       0       0       0       1       0
10       0      66      1       4        1            1            1          "Great Scepter"                      82      74          85          45            65           0                 35                0          100           21             0           0             0               0      0       0       0       0       1       0
11       0      66      1       4        1            1            1          "Lord Scepter"                       98      91          102         40            72           0                 52                0          105           23             0           0             0               0      0       0       0       0       1       0
12       0      66      1       4        1            1            1          "Great Lord Scepter"                 140     108         120         40            84           0                 67                0          90            20             0           0             0               0      0       0       0       0       1       0
13       0      66      1       4        1            1            1          "Divine Scepter of Archangel"        150     200         223         45            90           0                 138               0          75            16             0           0             0               0      0       0       0       0       1       0
14       0      66      1       4        1            1            1          "Soleil Sceptor"                     146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0
15       0      66      1       4        1            1            1          "Shining Scepter"                    110     99          111         40            78           0                 60                0          108           22             0           0             0               0      0       0       0       0       1       0
16       0      0       1       3        1            1            1          "Frost Mace"                         121     106         146         50            80           0                 0                 380        27            19             0           0             0               0      0       0       2       0       0       0
17       0      66      1       4        1            1            1          "Absolute Scepter"                   135     114         132         40            90           0                 72                380        119           24             0           0             0               0      0       0       0       0       1       0
18       0      66      1       4        1            1            1          "Striker Scepter"                    147     112         124         40            86           0                 70                0          87            20             0           0             0               0      0       0       0       0       1       0
end

3
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        0      22      2       4        1            1            1          "Light Spear"                        42      50          63          25            56           0                 0                 0          60            70             0           0             0               0      0       1       1       1       0       0
1        0      0       2       4        1            1            1          "Spear"                              23      30          41          30            42           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0
2        0      0       2       4        1            1            1          "Dragon Lance"                       15      21          33          30            34           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0
3        0      0       2       4        1            1            1          "Giant Trident"                      29      35          43          25            44           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0
4        0      20      2       4        1            1            1          "Serpent Spear"                      46      58          80          20            58           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0
5        0      0       2       4        1            1            1          "Double Poleaxe"                     13      19          31          30            38           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0
6        0      0       2       4        1            1            1          "Halberd"                            19      25          35          30            40           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0
7        0      22      2       4        1            1            1          "Berdysh"                            37      42          54          30            54           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0
8        0      22      2       4        1            1            1          "Great Scythe"                       54      71          92          25            68           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0
9        0      22      2       4        1            1            1          "Bill of Balrog"                     63      76          102         25            74           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0
10       0      22      2       4        1            1            1          "Dragon Spear"                       92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0
11       0      22      2       4        1            1            1          "Brova"                              147     190         226         40            90           0                 0                 0          152           25             0           0             0               0      0       2       0       1       0       0
end

4
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        1      24      2       3        1            1            1          "Short Bow"                          2       3           5           30            20           0                 0                 0          20            80             0           0             0               0      0       0       1       0       0       0
1        1      24      2       3        1            1            1          "Bow"                                8       9           13          30            24           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0
2        1      24      2       3        1            1            1          "Elven Bow"                          16      17          24          30            28           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0
3        1      24      2       3        1            1            1          "Battle Bow"                         26      28          37          30            36           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0
4        1      24      2       4        1            1            1          "Tiger Bow"                          40      42          52          30            43           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0
5        1      24      2       4        1            1            1          "Silver Bow"                         56      59          71          40            48           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0
6        1      24      2       4        1            1            0          "Chaos Nature Bow"                   75      88          106         35            68           0                 0                 0          40            150            0           0             0               0      0       0       1       0       0       0
7        1      0       1       1        0            0            0          "Bolt"                               0       0           0           0             255          0                 0                 0          0             0              0           0             0               0      0       0       1       0       0       0
8        0      24      2       2        1            1            1          "Crossbow"                           4       5           8           40            22           0                 0                 0          20            90             0           0             0               0      0       0       1       0       0       0
9        0      24      2       2        1            1            1          "Golden Crossbow"                    12      13          19          40            26           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0
10       0      24      2       2        1            1            1          "Arquebus"                           20      22          30          40            31           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0
11       0      24      2       3        1            1            1          "Light Crossbow"                     32      35          44          40            40           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0
12       0      24      2       3        1            1            1          "Serpent Crossbow"                   48      50          61          40            45           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0
13       0      24      2       3        1            1            1          "Bluewing Crossbow"                  68      68          82          40            56           0                 0                 0          40            110            0           0             0               0      0       0       1       0       0       0
14       0      24      2       3        1            1            1          "Aquagold Crossbow"                  72      78          92          30            60           0                 0                 0          50            130            0           0             0               0      0       0       1       0       0       0
15       0      0       1       1        0            0            0          "Arrow"                              0       0           0           0             255          0                 0                 0          0             0              0           0             0               0      0       0       1       0       0       0
16       0      24      2       4        1            1            1          "Saint Crossbow"                     84      102         127         35            72           0                 0                 0          50            160            0           0             0               0      0       0       1       0       0       0
17       1      24      2       4        1            1            1          "Celestial Bow"                      92      127         155         35            76           0                 0                 0          54            198            0           0             0               0      0       0       2       0       0       0
18       0      24      2       3        1            1            1          "Divine Crossbow of Archangel"       100     224         246         45            200          0                 0                 0          40            110            0           0             0               0      0       0       1       0       0       0
19       0      24      2       3        1            1            1          "Great Reign Crossbow"               100     150         172         40            80           0                 0                 0          61            285            0           0             0               0      0       0       2       0       0       0
20       1      24      2       4        1            1            1          "Arrow Viper Bow"                    135     166         190         45            86           0                 0                 0          52            245            0           0             0               0      0       0       2       0       0       0
21       1      24      2       4        1            1            1          "Sylph Wind Bow"                     147     177         200         45            93           0                 0                 380        46            210            0           0             0               0      0       0       2       0       0       0
22       1      24      2       4        1            1            1          "Albatross Bow"                      110     155         177         45            70           0                 0                 0          60            265            0           0             0               0      0       0       2       0       0       0
23       1      24      2       4        1            1            1          "Dark Stinger"                       134     162         184         45            80           0                 0                 380        32            209            0           0             0               0      0       0       2       0       0       0
24       1      24      2       4        1            1            1          "Aileen Bowr"                        147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0
end

5
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        0      0       1       3        1            1            1          "Skull Staff"                        6       3           4           20            0            20                6                 0          40            0              0           0             0               0      1       0       0       1       0       1
1        0      0       2       3        1            1            1          "Angelic Staff"                      18      10          12          25            0            38                20                0          50            0              0           0             0               0      1       0       0       1       0       0
2        0      0       2       3        1            1            1          "Serpent Staff"                      30      17          18          25            0            50                34                0          50            0              0           0             0               0      1       0       0       1       0       0
3        0      0       2       4        1            1            1          "Thunder Staff"                      42      23          25          25            0            60                46                0          40            10             0           0             0               0      1       0       0       1       0       0
4        0      0       2       4        1            1            1          "Gorgon Staff"                       52      29          32          25            0            65                58                0          50            0              0           0             0               0      1       0       0       1       0       0
5        0      0       1       4        1            1            1          "Legendary Staff"                    59      29          31          25            0            66                59                0          50            0              0           0             0               0      1       0       0       1       0       0
6        0      0       1       4        1            1            1          "Staff of Resurrection"              70      35          39          25            0            70                70                0          60            10             0           0             0               0      1       0       0       1       0       0
7        0      0       2       4        1            1            0          "Chaos Lighting Staff"               75      47          48          30            0            70                94                0          60            10             0           0             0               0      1       0       0       1       0       0
8        0      0       2       4        1            1            1          "Staff of Destruction"               90      50          54          30            0            85                101               0          60            10             0           0             0               0      1       0       0       1       0       0
9        0      0       1       4        1            1            1          "Dragon Soul Staff"                  100     46          48          30            0            91                92                0          52            16             0           0             0               0      2       0       0       0       0       0
10       0      0       1       4        1            1            1          "Divine Staff of Archangel"          104     153         165         30            0            182               156               0          36            4              0           0             0               0      1       0       0       1       0       0
11       0      0       1       4        1            1            1          "Staff of Kundun"                    140     55          61          30            0            95                110               0          45            16             0           0             0               0      2       0       0       1       0       0
12       0      0       1       4        1            1            1          "Grand Viper Staff"                  147     66          74          30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0
13       0      0       1       4        1            1            1          "Platina Staff"                      110     51          53          30            0            78                120               0          50            16             0           0             0               0      2       0       0       0       0       0
14       0      0       1       4        1            1            1          "Mystery Stick"                      28      17          18          25            0            50                34                0          34            14             0           0             0               0      0       0       0       0       0       1
15       0      0       1       4        1            1            1          "Violent Wind Stick"                 42      23          25          25            0            60                46                0          33            17             0           0             0               0      0       0       0       0       0       1
16       0      0       1       4        1            1            1          "Red Wing Stick"                     59      29          31          25            0            65                59                0          36            14             0           0             0               0      0       0       0       0       0       1
17       0      0       1       4        1            1            1          "Ancient Stick"                      78      38          40          25            0            81                76                0          50            19             0           0             0               0      0       0       0       0       0       1
18       0      0       1       4        1            1            1          "Demonic Stick"                      100     46          48          30            0            91                92                0          54            15             0           0             0               0      0       0       0       0       0       2
19       0      0       1       4        1            1            1          "Storm Blitz Stick"                  110     51          53          30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2
21       1      223     1       2        1            1            1          "Book of Samut"                      52      0           0           25            0            60                46                0          0             20             135         0             0               0      0       0       0       0       0       1
22       1      224     1       2        1            1            1          "Book of Neil"                       59      0           0           25            0            65                59                0          0             25             168         0             0               0      0       0       0       0       0       1
23       1      225     1       2        1            1            1          "Book of Lagle"                      65      0           0           25            0            50                72                0          0             30             201         0             0               0      0       0       0       0       0       1
30       0      0       1       4        1            1            1          "Deadly Staff"                       138     57          59          30            0            91                126               380        47            18             0           0             0               0      0       0       0       1       0       0
31       0      0       1       4        1            1            1          "Inberial Staff"                     137     57          61          30            0            182               124               380        48            14             0           0             0               0      2       0       0       0       0       0
33       0      0       1       4        1            1            1          "Chromatic Staff"                    147     55          57          30            0            78                124               0          50            12             0           0             0               0      2       0       0       1       0       0
34       0      0       1       4        1            1            1          "Raven Stick"                        147     70          78          30            0            98                130               0          50            14             0           0             0               0      0       0       0       0       0       2
36	 0	0	1	4	 0	      0	           0	      "Divine Stick of Archangel"	   104	   153	       165	   30	         0	      182	        146	          0	     55	           13	          0	      0	            0	            0	   0	   0	   0	   0	   0	   1
end

6
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   DefenseSuccessRate   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        1      0       2       2        1            1            1          "Small Shield"                       3       1         3                    22           0          70            0              0           0             0               0      1       1       1       1       1       0
1        1      0       2       2        1            1            1          "Horn Shield"                        9       3         9                    28           0          100           0              0           0             0               0      0       1       0       1       1       0
2        1      0       2       2        1            1            1          "Kite Shield"                        12      4         12                   32           0          110           0              0           0             0               0      0       1       0       1       1       0
3        1      0       2       2        1            1            1          "Elven Shield"                       21      8         21                   36           0          30            100            0           0             0               0      0       0       1       0       0       0
