//Index   ColorR   ColorG   ColorB   ModelName
4159	70      70     70	"ArmorMale63"
4160	70      70     70	"ArmorMale64"
4161	70      70     70	"ArmorMale65"
4162	70      70     70	"ArmorMale66"
4163	70      70     70	"ArmorMale67"
4164	70      70     70	"ArmorMale68"


4664	70      70     70	"PantMale56"
4665	70      70     70	"PantMale57"
4666	70      70     70	"PantMale58"
4667	70      70     70	"PantMale59"
4668	70      70     70	"PantMale60"
4669	70      70     70	"PantMale61"

4670	70      70     70	"PantMale62"
4671	70      70     70	"PantMale63"
4672	70      70     70	"PantMale64"
4673	70      70     70	"PantMale65"
4674	70      70     70	"PantMale66"
4675	70      70     70	"PantMale67"
4676	70      70     70	"PantMale68"
4738 	70      70     70	"rimbrospants"	

5176	70      70     70	"GloveMale56"
5177	70      70     70	"GloveMale57"
5178	70      70     70	"GloveMale58"
5179	70      70     70	"GloveMale59"
5180	70      70     70	"GloveMale60"
5181	70      70     70	"GloveMale61"

5182	70      70     70	"GloveMale62"
5183	70      70     70	"GloveMale63"
5184	70      70     70	"GloveMale64"
5185	70      70     70	"GloveMale65"
5186	70      70     70	"GloveMale66"
5187	70      70     70	"GloveMale67"
5188	70      70     70	"GloveMale68"
5250	70      70     70	"rimbrosgloves"

5688	70      70     70	"BootMale56"
5689	70      70     70	"BootMale57"
5690	70      70     70	"BootMale58"
5691	70      70     70	"BootMale59"
5692	70      70     70	"BootMale60"
5693	70      70     70	"BootMale61"

5694	70      70     70	"BootMale62"
5695	70      70     70	"BootMale63"
5696	70      70     70	"BootMale64"
5697	70      70     70	"BootMale65"
5698	70      70     70	"BootMale66"
5699	70      70     70	"BootMale67"
5700	70      70     70	"BootMale68"
5762	70      70     70	"rimbrosbots"

3653	70      70     70	"HelmMale69"
4165	70      70     70	"ArmorMale69"
4677	70      70     70	"PantMale69"
5189	70      70     70	"GloveMale69"
5701	70      70     70	"BootMale69"

3654	70      70     70	"HelmMale70"
4166	70      70     70	"ArmorMale70"
4678	70      70     70	"PantMale70"
5190	70      70     70	"GloveMale70"
5702	70      70     70	"BootMale70"

3655	70      70     70	"HelmMale71"
4167	70      70     70	"ArmorMale71"
4679	70      70     70	"PantMale71"
5191	70      70     70	"GloveMale71"
5703	70      70     70	"BootMale71"

3656	70      70     70	"HelmMale72"
4168	70      70     70	"ArmorMale72"
4680	70      70     70	"PantMale72"
5192	70      70     70	"GloveMale72"
5704	70      70     70	"BootMale72"

3657	70      70     70   "HelmMale73"
4169	70      70     70	"ArmorMale73"
4681	70      70     70	"PantMale73"
5193	70      70     70	"GloveMale73"
5705	70      70     70	"BootMale73"

3658	70      70     70	"HelmMale74"
4170	70      70     70	"ArmorMale74"
4682	70      70     70	"PantMale74"
5194	70      70     70	"GloveMale74"
5706	70      70     70	"BootMale74"

3659	70      70     70	"HelmMale75"
4171	70      70     70	"ArmorMale75"
4683	70      70     70	"PantMale75"
5195	70      70     70	"GloveMale75"
5707	70      70     70	"BootMale75"

3660	70      70     70	"HelmMale76"
4172	70      70     70	"ArmorMale76"
4684	70      70     70	"PantMale76"
5196	70      70     70	"GloveMale76"
5708	70      70     70	"BootMale76"

3661	70      70     70	"HelmMale77"
4173	70      70     70	"ArmorMale77"
4685	70      70     70	"PantMale77"
5197	70      70     70	"GloveMale77"
5709	70      70     70	"BootMale77"

3662	70      70     70	"HelmMale78"
4174	70      70     70	"ArmorMale78"
4686	70      70     70	"PantMale78"
5198	70      70     70	"GloveMale78"
5710	70      70     70	"BootMale78"

3663	70      70     70	"HelmMale79"
4175	70      70     70	"ArmorMale79"
4687	70      70     70	"PantMale79"
5199	70      70     70	"GloveMale79"
5711	70      70     70	"BootMale79"

3664	70      70     70	"HelmMale80"
4176	70      70     70	"ArmorMale80"
4688	70      70     70	"PantMale80"
5200	70      70     70	"GloveMale80"
5712	70      70     70	"BootMale80"

3665	70      70     70	"HelmMale81"
4177	70      70     70	"ArmorMale81"
4689	70      70     70	"PantMale81"
5201	70      70     70	"GloveMale81"
5713	70      70     70	"BootMale81"

3666	70      70     70	"HelmMale82"
4178	70      70     70	"ArmorMale82"
4690	70      70     70	"PantMale82"
5202	70      70     70	"GloveMale82"
5714	70      70     70	"BootMale82"

3667	70      70     70	"HelmMale83"
4179	70      70     70	"ArmorMale83"
4691	70      70     70	"PantMale83"
5203	70      70     70	"GloveMale83"
5715	70      70     70	"BootMale83"

3668	70      70     70	"HelmMale84"
4180	70      70     70	"ArmorMale84"
4692	70      70     70	"PantMale84"
5204	70      70     70	"GloveMale84"
5716	70      70     70	"BootMale84"

3692	70      70     70	"HelmMale108"
4204	70      70     70	"ArmorMale108"
4716	70      70     70	"PantMale108"
5228	70      70     70	"GloveMale108"
5740	70      70     70	"BootMale108"

40      70      70     70  "Sword40"
41      70      70     70  "Sword41"
42      70      70     70  "Sword42"
43      70      70     70  "Sword43"
44      70      70     70  "Sword44"
45      70      70     70  "Sword45"
46      70      70     70  "Sword46"
47      70      70     70  "Sword47"
48      70      70     70  "Sword48"
49      70      70     70  "Sword49"
50      70      70     70  "Sword50"
51      70      70     70  "Sword51"
52      70      70     70  "Sword52"
53      70      70     70  "Sword53"
54      70      70     70  "Sword54"
55      70      70     70  "Sword55"
56      70      70     70  "Sword56"
57      70      70     70  "Sword57"
58      70      70     70  "Sword58"
59      70      70     70  "Sword59"
60      70      70     70  "Sword60"
61      70      70     70  "Sword61"
62      70      70     70  "Sword62"
63      70      70     70  "Sword63"
64      70      70     70  "Sword64"
65      70      70     70  "Sword65"
66      70      70     70  "Sword66"
67      70      70     70  "Sword67"
112     70      70     70  "Sword112"

1047    70      70     70  "Mace23"
1048    70      70     70  "Mace24"
1049    70      70     70  "Mace25"
1050    70      70     70  "Mace26"
1051    70      70     70  "Mace27"
1052    70      70     70  "Mace28"
1053    70      70     70  "Mace29"
1054    70      70     70  "Mace30"
1055    70      70     70  "Mace31"
1056    70      70     70  "Mace32"
1057    70      70     70  "Mace33"
1058    70      70     70  "Mace34"
1059    70      70     70  "Mace35"
1060    70      70     70  "Mace36"
1061    70      70     70  "Mace37"
1062    70      70     70  "Mace38"
1063    70      70     70  "Mace39"
1087    70      70     70  "Mace63"
1088    70      70     70  "Mace64"
1089    70      70     70  "Mace65"
1090    70      70     70  "Mace66"
1125    70      70     70  "Mace101"

2602    70      70     70   "Staff42"
2603    70      70     70   "Staff43"
2604    70      70     70   "Staff44"
2605    70      70     70   "Staff45"
2606    70      70     70   "Staff46"
2607    70      70     70   "Staff47"
2608    70      70     70   "Staff48"
2609    70      70     70   "Staff49"
2610    70      70     70   "Staff50"
2611    70      70     70   "Staff51"
2612    70      70     70   "Staff52"
2613    70      70     70   "Staff53"
2614    70      70     70   "Staff54"
2615    70      70     70   "Staff55"
2616    70      70     70   "Staff56"
2617    70      70     70   "Staff57"
2618    70      70     70   "Staff58"
2619    70      70     70   "Staff59"
2620    70      70     70   "Staff60"
2621    70      70     70   "Staff61"
2622    70      70     70   "Staff62"
2623    70      70     70   "Staff63"
2624    70      70     70   "Staff64"
2625    70      70     70   "Staff65"
2660    70      70     70   "Staff100"
2661    70      70     70   "Staff101"
2662    70      70     70   "Staff102"

3160	70      70     70  "Shield88"
3161	70      70     70  "Shield89"
3162	70      70     70  "Shield90"
3163	70      70     70  "Shield91"
3164	70      70     70  "Shield92"
3165	70      70     70  "Shield93"
3166	70      70     70  "Shield94"
3167	70      70     70  "Shield95"
3168	70      70     70  "Shield96"
3169	70      70     70  "Shield97"
3170    70      70     70  "Shield98"
3171    70      70     70  "Shield99"
3172    70      70     70  "Shield100"
3173    70      70     70  "Shield101"
3174    70      70     70  "Shield102"
3175    70      70     70  "Shield103"
3176    70      70     70  "Shield104"
3177    70      70     70  "Shield105"
3178    70      70     70  "Shield106"
3179    70      70     70  "Shield107"
3180    70      70     70  "Shield108"
3181    70      70     70  "Shield109"
3182    70      70     70  "Shield110"
3183    70      70     70  "Shield111"

523     70      70     70   "Axe11"
524     70      70     70   "Axe12"
525     70      70     70   "Axe13"

//ANIMES//
3669	70      70     70	"HelmMale85"
3670	70      70     70	"HelmMale86"
3671	70      70     70	"HelmMale87"
3672	70      70     70	"HelmMale88"
3673	70      70     70	"HelmMale89"
3674	70      70     70	"HelmMale90"
3675	70      70     70	"HelmMale91"
3676    70      70     70   "HelmMale92"
3677    70      70     70   "HelmMale93"
3678    70      70     70   "HelmMale94"
3679    70      70     70   "HelmMale95"
3680    70      70     70   "HelmMale96"
3681    70      70     70   "HelmMale97"
3682    70      70     70   "HelmMale98"
3683    70      70     70   "HelmMale99"
3684    70      70     70   "HelmMale100"
3685    70      70     70   "HelmMale101"
3686    70      70     70   "HelmMale102"
3687    70      70     70   "HelmMale103"
3688    70      70     70   "HelmMale104"
3689    70      70     70   "HelmMale105"
3690    70      70     70   "HelmMale106"
3691    70      70     70   "HelmMale107"
3693    70      70     70   "HelmMale109"
3694    70      70     70   "HelmMale110"
3695    70      70     70   "HelmMale111"
3696    70      70     70   "HelmMale112"
3697    70      70     70   "HelmMale113"
3698    70      70     70   "HelmMale114"
3699    70      70     70   "HelmMale115"
3700    70      70     70   "HelmMale116"
3701    70      70     70   "HelmMale117"
3702    70      70     70   "HelmMale118"

4181	70      70     70	"ArmorMale85"
4182	70      70     70	"ArmorMale86"
4183	70      70     70	"ArmorMale87"
4184	70      70     70	"ArmorMale88"
4185	70      70     70	"ArmorMale89"
4186	70      70     70	"ArmorMale90"
4187	70      70     70	"ArmorMale91"
4188    70      70     70   "ArmorMale92"
4189    70      70     70   "ArmorMale93"
4190    70      70     70   "ArmorMale94"
4191    70      70     70   "ArmorMale95"
4192    70      70     70   "ArmorMale96"
4193    70      70     70   "ArmorMale97"
4194    70      70     70   "ArmorMale98"
4195    70      70     70   "ArmorMale99"
4196    70      70     70   "ArmorMale100"
4197    70      70     70   "ArmorMale101"
4198    70      70     70   "ArmorMale102"
4199    70      70     70   "ArmorMale103"
4200    70      70     70   "ArmorMale104"
4201    70      70     70   "ArmorMale105"
4202    70      70     70   "ArmorMale106"
4203    70      70     70   "ArmorMale107"
4205    70      70     70   "ArmorMale109"
4206    70      70     70   "ArmorMale110"
4207    70      70     70   "ArmorMale111"
4208    70      70     70   "ArmorMale112"
4209    70      70     70   "ArmorMale113"
4210    70      70     70   "ArmorMale114"
4211    70      70     70   "ArmorMale115"
4212    70      70     70   "ArmorMale116"
4213    70      70     70   "ArmorMale117"
4214    70      70     70   "ArmorMale118"

4693	70      70     70	"PantMale85"
4694	70      70     70	"PantMale86"
4695	70      70     70	"PantMale87"
4696	70      70     70	"PantMale88"
4697	70      70     70	"PantMale89"
4698	70      70     70	"PantMale90"
4699	70      70     70	"PantMale91"
4700    70      70     70   "PantMale92"
4701    70      70     70   "PantMale93"
4702    70      70     70   "PantMale94"
4703    70      70     70   "PantMale95"
4704    70      70     70   "PantMale96"
4705    70      70     70   "PantMale97"
4706    70      70     70   "PantMale98"
4707    70      70     70   "PantMale99"
4708    70      70     70   "PantMale100"
4709    70      70     70   "PantMale101"
4710    70      70     70   "PantMale102"
4711    70      70     70   "PantMale103"
4712    70      70     70   "PantMale104"
4713    70      70     70   "PantMale105"
4714    70      70     70   "PantMale106"
4715    70      70     70   "PantMale107"
4717    70      70     70   "PantMale109"
4718    70      70     70   "PantMale110"
4719    70      70     70   "PantMale111"
4720    70      70     70   "PantMale112"
4721    70      70     70   "PantMale113"
4722    70      70     70   "PantMale114"
4723    70      70     70   "PantMale115"
4724    70      70     70   "PantMale116"
4725    70      70     70   "PantMale117"
4726    70      70     70   "PantMale118"

5717	70      70     70	"BootMale85"
5718	70      70     70	"BootMale86"
5719	70      70     70	"BootMale87"
5720	70      70     70	"BootMale88"
5721	70      70     70	"BootMale89"
5722	70      70     70	"BootMale90"
5723	70      70     70	"BootMale91"
5724    70      70     70   "BootMale92"
5725    70      70     70   "BootMale93"
5726    70      70     70   "BootMale94"
5727    70      70     70   "BootMale95"
5728    70      70     70   "BootMale96"
5729    70      70     70   "BootMale97"
5730    70      70     70   "BootMale98"
5731    70      70     70   "BootMale99"
5732    70      70     70   "BootMale100"
5733    70      70     70   "BootMale101"
5734    70      70     70   "BootMale102"
5735    70      70     70   "BootMale103"
5736    70      70     70   "BootMale104"
5737    70      70     70   "BootMale105"
5738    70      70     70   "BootMale106"
5739    70      70     70   "BootMale107"
5741    70      70     70   "BootMale109"
5742    70      70     70   "BootMale110"
5743    70      70     70   "BootMale111"
5744    70      70     70   "BootMale112"
5745    70      70     70   "BootMale113"
5746    70      70     70   "BootMale114"
5747    70      70     70   "BootMale115"
5748    70      70     70   "BootMale116"
5749    70      70     70   "BootMale117"
5750    70      70     70   "BootMale118"

5205    70      70     70	    "GloveMale85"
5206    70      70     70	    "GloveMale86"
5207    70      70     70	    "GloveMale87"
5208    70      70     70	    "GloveMale88"
5209    70      70     70       "GloveMale89"
5210    70      70     70	    "GloveMale90"
5211    70      70     70	    "GloveMale91"
5212    70      70     70       "GloveMale92"
5213    70      70     70       "GloveMale93"
5214    70      70     70       "GloveMale94"
5215    70      70     70       "GloveMale95"
5216    70      70     70       "GloveMale96"
5217    70      70     70       "GloveMale97"
5218    70      70     70       "GloveMale98"
5219    70      70     70       "GloveMale99"
5220    70      70     70       "GloveMale100"
5221    70      70     70       "GloveMale101"
5222    70      70     70       "GloveMale102"
5223    70      70     70       "GloveMale103"
5224    70      70     70       "GloveMale104"
5225    70      70     70       "GloveMale105"
5226    70      70     70       "GloveMale106"
5227    70      70     70       "GloveMale107"
5229    70      70     70       "GloveMale109"
5230    70      70     70       "GloveMale110"
5231    70      70     70       "GloveMale111"
5232    70      70     70       "GloveMale112"
5233    70      70     70       "GloveMale113"
5234    70      70     70       "GloveMale114"
5235    70      70     70       "GloveMale115"
5236    70      70     70       "GloveMale116"
5237    70      70     70       "GloveMale117"
5238    70      70     70       "GloveMale118"

3703	46	93	246	"helmmale119"
4215	46	93	246	"armormale119"
4727	46	93	246	"pantmale119"
5239	46	93	246	"glovemale119"
5751	46	93	246	"bootmale119"


526     70      70     70   "Axe14"
527     70      70     70   "Axe15"
528     70      70     70   "Axe16"

6856    70      70     70   "helper01"
6732    000     000    000  "PandaPetRing"
end
