//Index   Group   Rank   MinLevel   MaxLevel   MainValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
348       4       2      1          5          160         0              347            0              0
349       4       2      2          5          200         0              348            0              0
350       1       3      1          5          50          0              0              0              0
351       1       3      1          5          100         0              350            0              0
352       1       3      1          5          150         0              351            0              0
353       1       3      2          5          200         0              352            0              0
354       1       3      2          5          250         0              353            0              0
355       2       3      1          5          50          0              0              0              0
356       2       3      1          5          100         0              355            0              0
357       2       3      1          5          150         0              356            0              0
358       2       3      2          5          200         0              357            0              0
359       2       3      2          5          300         0              358            0              0
360       2       3      1          5          60          0              0              359            0
361       2       3      1          5          120         0              360            0              0
362       2       3      1          5          180         0              361            0              0
363       2       3      2          5          240         0              362            0              0
364       2       3      2          5          300         0              363            0              0
365       3       3      1          5          40          0              0              0              0
366       3       3      1          5          20          0              365            0              0
367       3       3      1          5          14          0              366            0              0
368       3       3      2          5          10          0              367            0              0
369       3       3      2          5          8           0              368            0              0
370       3       2      1          5          40          0              0              0              0
371       3       2      1          5          20          0              370            0              0
372       3       2      1          5          14          0              371            0              0
373       3       2      1          5          10          0              372            0              0
374       3       2      2          5          8           0              373            0              0
375       3       3      1          5          7           0              0              0              0
376       3       3      1          5          6           0              375            0              0
377       3       3      1          5          5           0              376            0              0
378       3       3      2          5          4           0              377            0              0
379       3       3      2          5          3           0              378            0              0
380       4       3      1          5          8           0              0              0              0
381       4       3      1          5          16          0              380            0              0
382       4       3      1          5          24          0              381            0              0
383       4       3      2          5          32          0              382            0              0
384       4       3      2          5          40          0              383            0              0
385       1       4      1          5          300         0              0              0              0
386       1       4      1          5          450         0              385            0              0
387       1       4      2          5          600         0              386            0              0
388       1       4      2          5          750         0              387            0              0
389       1       4      2          5          900         0              388            0              0
390       1       4      1          5          10          0              0              389            0
391       1       4      1          5          20          0              390            0              0
392       1       4      2          5          30          0              391            0              0
393       1       4      2          5          40          0              392            0              0
394       1       4      2          5          50          0              393            0              0
395       3       4      1          5          10          0              0              0              0
396       3       4      1          5          20          0              395            0              0
397       3       4      2          5          30          0              396            0              0
398       3       4      2          5          40          0              397            0              0
399       3       4      2          5          50          0              398            0              0
400       3       4      1          5          8           0              0              399            0
401       3       4      1          5          16          0              400            0              0
402       3       4      2          5          24          0              401            0              0
403       3       4      2          5          32          0              402            0              0
404       3       4      2          5          40          0              403            0              0
405       4       4      1          5          5           0              0              0              0
406       4       4      1          5          10          0              405            0              0
407       4       4      2          5          15          0              406            0              0
408       4       4      2          5          20          0              407            0              0
409       4       4      2          5          25          0              408            0              0
410       3       4      1          5          10          0              0              0              0
411       3       4      1          5          20          0              410            0              0
412       3       4      2          5          30          0              411            0              0
413       3       4      2          5          40          0              412            0              0
414       3       4      2          5          50          0              413            0              0
415       3       4      1          5          8           0              0              414            0
416       3       4      1          5          16          0              415            0              0
417       3       4      2          5          24          0              416            0              0
418       3       4      2          5          32          0              417            0              0
419       3       4      2          5          40          0              418            0              0
420       4       3      1          5          100         0              0              0              0
421       4       3      1          5          200         0              420            0              0
422       4       3      1          5          300         0              421            0              0
423       4       3      2          5          400         0              422            0              0
424       4       3      2          5          500         0              423            0              0
425       3       4      1          5          10          0              0              0              0
426       3       4      1          5          20          0              425            0              0
427       3       4      2          5          30          0              426            0              0
428       3       4      2          5          40          0              427            0              0
429       3       4      2          5          50          0              428            0              0
430       3       4      1          5          8           0              0              429            0
431       3       4      1          5          16          0              430            0              0
432       3       4      2          5          24          0              431            0              0
433       3       4      2          5          32          0              432            0              0
434       3       4      2          5          40          0              433            0              0
435       3       2      1          5          5           16             16             0              0
436       3       2      1          5          10          16             435            0              0
437       3       2      1          5          15          16             436            0              0
438       3       2      1          5          20          16             437            0              0
439       3       2      2          5          25          16             438            0              0
440       2       2      1          5          0           10             10             0              0
441       2       2      1          5          0           10             440            0              0
442       2       2      1          5          0           10             441            0              0
443       2       2      1          5          0           10             442            0              0
444       2       2      2          5          0           10             443            0              0
445       2       4      1          5          0           9              9              0              0
446       2       4      1          5          0           9              445            0              0
447       2       4      2          5          0           9              446            0              0
448       2       4      2          5          0           9              447            0              0
449       2       4      2          5          0           9              448            0              0
450       2       4      1          5          0           39             39             0              0
451       2       4      1          5          0           39             450            0              0
452       2       4      2          5          0           39             451            0              0
453       2       4      2          5          0           39             452            0              0
454       2       4      2          5          0           39             453            0              0
455       2       2      1          5          0           41             41             0              0
456       2       2      1          5          0           41             455            0              0
457       2       2      1          5          0           41             456            0              0
458       2       2      1          5          0           41             457            0              0
459       2       2      2          5          0           41             458            0              0
460       2       4      1          5          0           43             43             0              0
461       2       4      1          5          0           43             460            0              0
462       2       4      2          5          0           43             461            0              0
463       2       4      2          5          0           43             462            0              0
464       2       4      2          5          0           43             463            0              0
465       2       4      1          5          0           42             42             464            0
466       2       4      1          5          0           42             465            0              0
467       2       4      2          5          0           42             466            0              0
468       2       4      2          5          0           42             467            0              0
469       2       4      2          5          0           42             468            0              0
470       3       2      1          5          2           48             48             0              0
471       3       2      1          5          4           48             470            0              0
472       3       2      1          5          6           48             471            0              0
473       3       2      1          5          8           48             472            0              0
474       3       2      2          5          10          48             473            0              0
475       2       2      1          5          10          26             26             0              0
476       2       2      1          5          20          26             475            0              0
477       2       2      1          5          30          26             476            0              0
478       2       2      1          5          40          26             477            0              0
479       2       2      2          5          50          26             478            0              0
480       2       4      1          5          5           27             27             0              0
481       2       4      1          5          10          27             480            0              0
482       2       4      2          5          15          27             481            0              0
483       2       4      2          5          20          27             482            0              0
484       2       4      2          5          25          27             483            0              0
485       2       4      1          5          6           28             28             484            0
486       2       4      1          5          12          28             485            0              0
487       2       4      2          5          18          28             486            0              0
488       2       4      2          5          24          28             487            0              0
489       2       4      2          5          30          28             488            0              0
490       3       2      1          5          0           24             24             0              0
491       3       2      1          5          0           24             490            0              0
492       3       2      1          5          0           24             491            0              0
493       3       2      1          5          0           24             492            0              0
494       3       2      2          5          0           24             493            0              0
495       2       2      1          5          0           41             41             0              0
496       2       2      1          5          0           41             495            0              0
497       2       2      1          5          0           41             496            0              0
498       2       2      1          5          0           41             497            0              0
499       2       2      2          5          0           41             498            0              0
500       2       4      1          5          0           55             55             0              0
501       2       4      1          5          0           55             500            0              0
502       2       4      2          5          0           55             501            0              0
503       2       4      2          5          0           55             502            0              0
504       2       4      2          5          0           55             503            0              0
505       2       4      1          5          0           56             56             504            0
506       2       4      1          5          0           56             505            0              0
507       2       4      2          5          0           56             506            0              0
508       2       4      2          5          0           56             507            0              0
509       2       4      2          5          0           56             508            0              0
510       3       2      1          5          0           13             13             0              0
511       3       2      1          5          0           13             510            0              0
512       3       2      1          5          0           13             511            0              0
513       3       2      1          5          0           13             512            0              0
514       3       2      2          5          0           13             513            0              0
515       3       2      1          5          0           62             62             0              0
516       3       2      1          5          0           62             515            0              0
517       3       2      1          5          0           62             516            0              0
518       3       2      1          5          0           62             517            0              0
519       3       2      2          5          0           62             518            0              0
520       2       2      1          5          0           61             61             0              0
521       2       2      1          5          0           61             520            0              0
522       2       2      1          5          0           61             521            0              0
523       2       2      1          5          0           61             522            0              0
524       2       2      2          5          0           61             523            0              0
525       2       4      1          5          0           78             78             0              0
526       2       4      1          5          0           78             525            0              0
527       2       4      2          5          0           78             526            0              0
528       2       4      2          5          0           78             527            0              0
529       2       4      2          5          0           78             528            0              0
530       3       4      1          5          0           9              9              0              0
531       3       4      1          5          0           9              530            0              0
532       3       4      2          5          0           9              531            0              0
533       3       4      2          5          0           9              532            0              0
534       3       4      2          5          0           9              533            0              0
535       2       2      1          5          1           219            219            0              0
536       2       2      1          5          2           219            535            0              0
537       2       2      1          5          3           219            536            0              0
538       2       2      1          5          4           219            537            0              0
539       2       2      2          5          5           219            538            0              0
540       2       4      1          5          0           215            215            0              0
541       2       4      1          5          0           215            540            0              0
542       2       4      2          5          0           215            541            0              0
543       2       4      2          5          0           215            542            0              0
544       2       4      2          5          0           215            543            0              0
545       2       4      1          5          0           230            230            0              0
546       2       4      1          5          0           230            545            0              0
547       2       4      2          5          0           230            546            0              0
548       2       4      2          5          0           230            547            0              0
549       2       4      2          5          0           230            548            0              0
550       3       2      1          5          0           214            214            0              0
551       3       2      1          5          0           214            550            0              0
552       3       2      1          5          0           214            551            0              0
553       3       2      1          5          0           214            552            0              0
554       3       2      2          5          0           214            553            0              0
end
