//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU
56        "Power Slash"                        0        15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       1       0       0
57        "Spiral Slash"                       75       20      15      5       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0
60        "Force"                              10       10      0       4       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0
61        "Fire Burst"                         100      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       1       0
62        "Earthquake"                         150      0       50      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       1       0
63        "Summon Party"                       0        70      30      0       0       30000   *      0        0          0           0               0              0                0       0       0       0       1       0
64        "Greater Critical Damage"            0        50      50      6       6       0       *      5        0          0           0               0              0                0       0       0       0       1       0
65        "Electric Spark"                     250      0       100     0       6       5000    *      0        0          0           0               0              0                0       0       0       0       1       0
66        "Force Wave"                         50       10      0       4       3       0       *      0        0          0           0               0              0                0       0       0       0       1       0
67        "Stern"                              0        70      50      0       5       0       *      61       0          0           0               4              32               1       1       1       1       1       1
68        "Remove Stern"                       0        25      30      0       5       0       *      0        0          0           0               2              32               1       1       1       1       1       1
69        "Greater Mana"                       0        35      30      0       5       0       *      9        0          0           0               4              32               1       1       1       1       1       1
70        "Invisibility"                       0        80      60      6       0       0       *      18       0          0           0               5              192              1       1       1       1       1       1
71        "Remove Invisibility"                0        40      30      0       5       0       *      0        0          0           0               2              192              1       1       1       1       1       1
72        "Remove All Effect"                  0        90      70      0       5       0       *      0        0          0           0               8              128              0       0       0       0       1       0
73        "Mana Rays"                          85       130     7       6       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0
74        "Fire Blast"                         150      30      10      6       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0
75        "Brand"                              0        100     35      0       5       0       *      0        0          0           0               0              0                0       0       0       0       1       0
76        "Plasma Storm"                       60       50      20      0       5       1500    *      0        0          0           0               0              0                2       2       2       1       1       2
77        "Infinity Arrow"                     0        50      10      0       0       200     *      6        0          0           0               0              0                0       0       1       0       0       0
78        "Fire Scream"                        130      45      10      4       6       0       *      0        0          0           0               0              0                0       0       0       0       1       0
79        "Explosion"                          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0
200       "Monster Summon"                     0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0
201       "Magic Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0
202       "Physi Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0
210       "Order of Protection"                0        30      0       0       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1
211       "Order of Restraint"                 0        30      0       3       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1
212       "Order of Tracking"                  0        30      0       0       0       0       0      0        0          0           0               10             0                1       1       1       1       1       1
213       "Order of Weaken"                    0        30      0       3       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1
214       "Drain Life"                         35       50      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1
215       "Chain Lightning"                    70       85      0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       1
216       "Electric Surge"                     90       100     0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1
217       "Damage Reflect"                     0        40      10      6       0       5000    *      71       0          0           0               0              0                0       0       0       0       0       1
218       "Sword Power"                        0        100     50      0       0       5000    *      81       0          0           0               0              0                0       0       0       0       0       1
219       "Sleep"                              0        20      3       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       1
221       "Lesser Damage"                      0        50      15      0       5       4000    *      76       0          0           0               0              0                0       0       0       0       0       1
222       "Lesser Defense"                     0        70      15      0       5       4000    *      77       0          0           0               0              0                0       0       0       0       0       1
223       "Sahamutt"                           40       90      5       6       3       4000    3      75       0          0           0               0              0                0       0       0       0       0       1
224       "Neil"                               65       110     10      6       4       4000    5      74       0          0           0               0              0                0       0       0       0       0       1
225       "Ghost Phantom"                      80       120     15      6       5       4000    2      56       0          0           0               0              0                0       0       0       0       0       1
230       "Red Storm"                          95       115     7       0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       1
232       "Frozen Stab"                        110      30      24      6       3       0       0      86       0          0           0               0              0                0       2       0       0       0       0
233       "Magic Circle"                       0        200     50      0       0       0       *      82       0          0           0               0              0                2       0       0       0       0       0
234       "Shield Recover"                     0        40      10      6       0       0       *      0        0          0           0               0              0                0       0       2       0       0       0
235       "Five Shot"                          40       10      7       0       6       0       *      0        0          0           0               0              0                0       0       2       0       0       0
236       "Sword Slash"                        140      20      25      0       5       0       3      83       0          0           0               0              0                0       0       0       1       0       0
237       "Lightning Storm"                    110      120     10      0       6       0       5      84       0          0           0               0              0                0       0       0       1       0       0
238       "Birds"                              190      50      15      0       6       0       *      0        0          0           0               0              0                0       0       0       0       1       0
239	  "Self Explosion"	               140	20	25	0	3	0	3      0        0          0           0               0              0                0       0       0       0       0       0
300       "Add Attack Success Rate 1"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
301       "Add Attack Success Rate 2"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
302       "Add Attack Success Rate 3"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
303       "Add Attack Success Rate 4"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
304       "Add Attack Success Rate 5"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
305       "Add Attack Success Rate PvP 1"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
306       "Add Attack Success Rate PvP 2"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
307       "Add Attack Success Rate PvP 3"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
308       "Add Attack Success Rate PvP 4"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
309       "Add Attack Success Rate PvP 5"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
310       "Add Defense Success Rate PvP 1"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
311       "Add Defense Success Rate PvP 2"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
312       "Add Defense Success Rate PvP 3"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
313       "Add Defense Success Rate PvP 4"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
314       "Add Defense Success Rate PvP 5"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
315       "Add Item Durability Rate 1"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
316       "Add Item Durability Rate 2"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
317       "Add Item Durability Rate 3"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
318       "Add Item Durability Rate 4"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
319       "Add Item Durability Rate 5"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
320       "Add Jewelry Durability Rate 1"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
321       "Add Jewelry Durability Rate 2"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
322       "Add Jewelry Durability Rate 3"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
323       "Add Jewelry Durability Rate 4"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
324       "Add Jewelry Durability Rate 5"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
325       "Add Poison Resistance 1"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
326       "Add Poison Resistance 2"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
327       "Add Poison Resistance 3"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
328       "Add Poison Resistance 4"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
329       "Add Poison Resistance 5"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
330       "Add Lightning Resistance 1"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
331       "Add Lightning Resistance 2"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
332       "Add Lightning Resistance 3"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
333       "Add Lightning Resistance 4"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
334       "Add Lightning Resistance 5"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
335       "Add Ice Resistance 1"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
336       "Add Ice Resistance 2"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
337       "Add Ice Resistance 3"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
338       "Add Ice Resistance 4"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
339       "Add Ice Resistance 5"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
340       "Add HP Recovery Rate 1"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
341       "Add HP Recovery Rate 2"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
342       "Add HP Recovery Rate 3"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
343       "Add HP Recovery Rate 4"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
344       "Add HP Recovery Rate 5"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
345       "Add Money Amount Drop Rate 1"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
346       "Add Money Amount Drop Rate 2"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
347       "Add Money Amount Drop Rate 3"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
348       "Add Money Amount Drop Rate 4"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
349       "Add Money Amount Drop Rate 5"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
350       "Add Defense 1"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
351       "Add Defense 2"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
352       "Add Defense 3"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
353       "Add Defense 4"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
354       "Add Defense 5"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
355       "Add Max HP 1"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
356       "Add Max HP 2"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
357       "Add Max HP 3"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
358       "Add Max HP 4"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
359       "Add Max HP 5"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
360       "Add Max BP 1"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
361       "Add Max BP 2"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
362       "Add Max BP 3"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
363       "Add Max BP 4"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
364       "Add Max BP 5"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
365       "Add Hunt MP 1"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
366       "Add Hunt MP 2"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
367       "Add Hunt MP 3"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
368       "Add Hunt MP 4"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
369       "Add Hunt MP 5"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
370       "Add Hunt HP 1"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
371       "Add Hunt HP 2"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
372       "Add Hunt HP 3"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
373       "Add Hunt HP 4"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
374       "Add Hunt HP 5"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
375       "Add Hunt SD 1"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
376       "Add Hunt SD 2"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
377       "Add Hunt SD 3"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
378       "Add Hunt SD 4"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
379       "Add Hunt SD 5"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
380       "Add Experience Rate 1"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
381       "Add Experience Rate 2"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
382       "Add Experience Rate 3"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
383       "Add Experience Rate 4"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
384       "Add Experience Rate 5"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
385       "Add Max SD 1"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
386       "Add Max SD 2"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
387       "Add Max SD 3"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
388       "Add Max SD 4"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
389       "Add Max SD 5"                       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
390       "Add SD Recovery Rate 1"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
391       "Add SD Recovery Rate 2"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
392       "Add SD Recovery Rate 3"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
393       "Add SD Recovery Rate 4"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
394       "Add SD Recovery Rate 5"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
395       "Add Max Physi Damage 1"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
396       "Add Max Physi Damage 2"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
397       "Add Max Physi Damage 3"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
398       "Add Max Physi Damage 4"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
399       "Add Max Physi Damage 5"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
400       "Add Min Physi Damage 1"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
401       "Add Min Physi Damage 2"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
402       "Add Min Physi Damage 3"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
403       "Add Min Physi Damage 4"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
404       "Add Min Physi Damage 5"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       3       0       3       0
405       "Add MP Consumption Rate 1"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
406       "Add MP Consumption Rate 2"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
407       "Add MP Consumption Rate 3"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
408       "Add MP Consumption Rate 4"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
409       "Add MP Consumption Rate 5"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3
410       "Add Max Magic Damage 1"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
411       "Add Max Magic Damage 2"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
412       "Add Max Magic Damage 3"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
413       "Add Max Magic Damage 4"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
414       "Add Max Magic Damage 5"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
415       "Add Min Magic Damage 1"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
416       "Add Min Magic Damage 2"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
417       "Add Min Magic Damage 3"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
418       "Add Min Magic Damage 4"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
419       "Add Min Magic Damage 5"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       3
420       "Add Pet Durability Rate 1"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0
421       "Add Pet Durability Rate 2"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0
422       "Add Pet Durability Rate 3"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0
423       "Add Pet Durability Rate 4"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0
424       "Add Pet Durability Rate 5"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0
425       "Add Max Damage 1"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
426       "Add Max Damage 2"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
427       "Add Max Damage 3"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
428       "Add Max Damage 4"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
429       "Add Max Damage 5"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
430       "Add Min Damage 1"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
431       "Add Min Damage 2"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
432       "Add Min Damage 3"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
433       "Add Min Damage 4"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
434       "Add Min Damage 5"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0
435       "Add Mana Shield Improved 1"         0        77      24      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0
436       "Add Mana Shield Improved 2"         0        84      26      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0
437       "Add Mana Shield Improved 3"         0        91      28      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0
438       "Add Mana Shield Improved 4"         0        98      30      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0
439       "Add Mana Shield Improved 5"         0        105     33      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0
440       "Add Hell Fire Improved 1"           135      176     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0
441       "Add Hell Fire Improved 2"           150      192     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0
442       "Add Hell Fire Improved 3"           165      208     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0
443       "Add Hell Fire Improved 4"           180      224     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0
444       "Add Hell Fire Improved 5"           195      240     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0
445       "Add Evil Spirit Improved 1"         50       99      0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0
446       "Add Evil Spirit Improved 2"         55       108     0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0
447       "Add Evil Spirit Improved 3"         60       117     0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0
448       "Add Evil Spirit Improved 4"         65       126     0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0
449       "Add Evil Spirit Improved 5"         70       135     0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0
450       "Add Ice Storm Improved 1"           85       110     5       6       4       0       0      56       0          0           0               0              0                3       0       0       0       0       0
451       "Add Ice Storm Improved 2"           90       120     6       6       4       0       0      56       0          0           0               0              0                3       0       0       0       0       0
452       "Add Ice Storm Improved 3"           95       130     6       6       4       0       0      56       0          0           0               0              0                3       0       0       0       0       0
453       "Add Ice Storm Improved 4"           100      140     7       6       4       0       0      56       0          0           0               0              0                3       0       0       0       0       0
454       "Add Ice Storm Improved 5"           105      150     7       6       4       0       0      56       0          0           0               0              0                3       0       0       0       0       0
455       "Add Twisting Slash Improved 1"      2        10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0
456       "Add Twisting Slash Improved 2"      4        10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0
457       "Add Twisting Slash Improved 3"      6        10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0
458       "Add Twisting Slash Improved 4"      8        10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0
459       "Add Twisting Slash Improved 5"      10       10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0
460       "Add Death Stab Improved 1"          75       15      13      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0
