//index text 
273 "Miss MIss , Come back later"
274 "Miss MIss , Come back later"
275 "Miss MIss , Come back later"
276 "Miss MIss , Come back later"
277 "Miss MIss , Come back later"
278 "Miss MIss , Come back later"
279 "Miss MIss , Come back later"
280 "Miss MIss , Come back later"
281 "Miss MIss , Come back later"
282 "Miss MIss , Come back later"
283 "Miss MIss , Come back later"
284 "Miss MIss , Come back later"
285 "Miss MIss , Come back later"
286 "Miss MIss , Come back later"
287 "Miss MIss , Come back later"
288 "Miss MIss , Come back later"
289 "Miss MIss , Come back later"
290 "Miss MIss , Come back later"
291 "I am the master and ruler"
292 "I am the master and ruler"
293 "I am the master and ruler"
294 "I am the master and ruler"
295 "I am the master and ruler"
296 "I am the master and ruler"
297 "I am the master and ruler"
298 "I am the master and ruler"
299 "I am the master and ruler"
300 "I am the master and ruler"
301 "Hihihih I'm Very Strong Monster"
302 "Hihihih I'm Very Strong Monster"
303 "Hihihih I'm Very Strong Monster"
304 "Hihihih I'm Very Strong Monster"
305 "Hihihih I'm Very Strong Monster"
306 "Hihihih I'm Very Strong Monster"
307 "Hihihih I'm Very Strong Monster"
308 "Hihihih I'm Very Strong Monster"
309 "Hihihih I'm Very Strong Monster"
310 "Hihihih I'm Very Strong Monster"
311 "Hihihih I'm Very Strong Monster"
312 "Hihihih I'm Very Strong Monster"
313 "Hihihih I'm Very Strong Monster"
314 "Hihihih I'm Very Strong Monster"
315 "Hihihih I'm Very Strong Monster"
316 "Hihihih I'm Very Strong Monster"
317 "Hihihih I'm Very Strong Monster"
318 "Hihihih I'm Very Strong Monster"
320 "Hihihih I'm Very Strong Monster"
321 "Hihihih I'm Very Strong Monster"
322 "Hihihih I'm Very Strong Monster"
323 "Hihihih I'm Very Strong Monster"
324 "Hihihih I'm Very Strong Monster"
325 "Hihihih I'm Very Strong Monster"
326 "Hihihih I'm Very Strong Monster"
327 "Hihihih I'm Very Strong Monster"
328 "Hihihih I'm Very Strong Monster"
329 "Hihihih I'm Very Strong Monster"
330 "Hihihih I'm Very Strong Monster"
331 "Hihihih I'm Very Strong Monster"
332 "Hihihih I'm Very Strong Monster"
333 "Hihihih I'm Very Strong Monster"
334 "Are You crazy !! You attack me"
335 "Are You crazy !! You attack me"
336 "Are You crazy !! You attack me"
337 "Are You crazy !! You attack me"
338 "Are You crazy !! You attack me"
339 "Are You crazy !! You attack me"
340 "Are You crazy !! You attack me"
341 "Are You crazy !! You attack me"
342 "Are You crazy !! You attack me"
343 "I'm Golden Moster You Are Dead"
344 "Are You crazy !! You attack me"
345 "Are You crazy !! You attack me"
346 "Are You crazy !! You attack me"
347 "Are You crazy !! You attack me"
348 "Are You crazy !! You attack me"
349 "Are You crazy !! You attack me"
350 "Are You crazy !! You attack me"
351 "Are You crazy !! You attack me"
352 "Are You crazy !! You attack me"
353 "I'm Golden Moster You Are Dead"
354 "I'm Golden Moster You Are Dead"
355 "Are You crazy !! You attack me"
356 "Are You crazy !! You attack me"
357 "Are You crazy !! You attack me"
358 "Are You crazy !! You attack me"
359 "Are You crazy !! You attack me"
360 "Are You crazy !! You attack me"
361 "Are You crazy !! You attack me"
362 "Are You crazy !! You attack me"
363 "Next time we do not approach"
364 "Next time we do not approach"
365 "Next time we do not approach"
366 "Next time we do not approach"
367 "Next time we do not approach"
368 "Next time we do not approach"
369 "Next time we do not approach"
370 "Next time we do not approach"
371 "Next time we do not approach"
372 "Next time we do not approach"
373 "Next time we do not approach"
374 "Next time we do not approach"
375 "Next time we do not approach"
376 "Next time we do not approach"
377 "Next time we do not approach"
378 "I'm Golden Moster You Are Dead"
379 "I'm Golden Moster You Are Dead"
380 "I'm Golden Moster You Are Dead"
381 "I'm Golden Moster You Are Dead"
382 "I'm Golden Moster You Are Dead"
383 "I'm Golden Moster You Are Dead"
384 "Now you will have a lesson"
385 "Now you will have a lesson"
386 "Now you will have a lesson"
387 "Now you will have a lesson"
388 "Now you will have a lesson"
389 "Now you will have a lesson"
390 "Now you will have a lesson"
391 "Now you will have a lesson"
392 "Now you will have a lesson"
393 "Now you will have a lesson"
394 "Now you will have a lesson"
395 "Now you will have a lesson"
396 "Now you will have a lesson"
397 "Now you will have a lesson"
398 "Now you will have a lesson"
399 "Now you will have a lesson"
400 "Now you will have a lesson"
401 "Now you will have a lesson"
402 "Now you will have a lesson"
403 "Now you will have a lesson"
404 "Now you will have a lesson"
405 "Now you will have a lesson"
406 "Now you will have a lesson"
407 "Now you will have a lesson"
408 "Now you will have a lesson"
409 "Now you will have a lesson"
410 "Now you will have a lesson"
411 "Now you will have a lesson"
412 "Now you will have a lesson"
413 "Now you will have a lesson"
414 "Now you will have a lesson"
415 "Now you will have a lesson"
416 "Now you will have a lesson"
417 "Now you will have a lesson"
418 "You Are Noob !!"
419 "You Are Noob !!"
420 "You Are Noob !!"
421 "You Are Noob !!"
422 "You Are Noob !!"
423 "You Are Noob !!"
424 "You Are Noob !!"
425 "You Are Noob !!"
426 "You Are Noob !!"
427 "You Are Noob !!"
428 "You Are Noob !!"
429 "You Are Noob !!"
430 "You Are Noob !!"
431 "You Are Noob !!"
432 "You Are Noob !!"
433 "You Are Noob !!"
434 "You Are Noob !!"
435 "You Are Noob !!"
436 "You Are Noob !!"
437 "You Are Noob !!"
438 "You Are Noob !!"
439 "You Are Noob !!"
440 "You Are Noob !!"
441 "You Are Noob !!"
442 "You Are Noob !!"
443 "You Are Noob !!"
444 "You Are Noob !!"
445 "You Are Noob !!"
446 "You Are Noob !!"
447 "You Are Noob !!"
448 "You Are Noob !!"
449 "You Are Noob !!"
450 "You Are Noob !!"
451 "Miss MIss , Come back later"
452 "Miss MIss , Come back later"
453 "Miss MIss , Come back later"
454 "Miss MIss , Come back later"
455 "Miss MIss , Come back later"
456 "Miss MIss , Come back later"
457 "Miss MIss , Come back later"
458 "Miss MIss , Come back later"
459 "Miss MIss , Come back later"
460 "Miss MIss , Come back later"
461 "Miss MIss , Come back later"
462 "Miss MIss , Come back later"
463 "Miss MIss , Come back later"
464 "Miss MIss , Come back later"
465 "Miss MIss , Come back later"
466 "Miss MIss , Come back later"
467 "Miss MIss , Come back later"
468 "Miss MIss , Come back later"
469 "Miss MIss , Come back later"
470 "Miss MIss , Come back later"
471 "Miss MIss , Come back later"
472 "Miss MIss , Come back later"
473 "Miss MIss , Come back later"
474 "Miss MIss , Come back later"
475 "Miss MIss , Come back later"
476 "Miss MIss , Come back later"
477 "Miss MIss , Come back later"
478 "Miss MIss , Come back later"
479 "Miss MIss , Come back later"
480 "Miss MIss , Come back later"
481 "Miss MIss , Come back later"
482 "Miss MIss , Come back later"
483 "Miss MIss , Come back later"
484 "Miss MIss , Come back later"
485 "Miss MIss , Come back later"
486 "Miss MIss , Come back later"
487 "Miss MIss , Come back later"
488 "Miss MIss , Come back later"
489 "Miss MIss , Come back later"
490 "Miss MIss , Come back later"
491 "I am the master and ruler"
492 "I am the master and ruler"
493 "I am the master and ruler"
494 "I am the master and ruler"
495 "I am the master and ruler"
496 "I am the master and ruler"
497 "I am the master and ruler"
498 "I am the master and ruler"
499 "I am the master and ruler"
500 "I am the master and ruler"
501 "Hihihih I'm Very Strong Monster"
502 "Hihihih I'm Very Strong Monster"
503 "Hihihih I'm Very Strong Monster"
504 "Hihihih I'm Very Strong Monster"
505 "Hihihih I'm Very Strong Monster"
506 "Hihihih I'm Very Strong Monster"
507 "Hihihih I'm Very Strong Monster"
508 "Hihihih I'm Very Strong Monster"
509 "Hihihih I'm Very Strong Monster"
510 "Hihihih I'm Very Strong Monster"
511 "Hihihih I'm Very Strong Monster"
512 "Hihihih I'm Very Strong Monster"
513 "Hihihih I'm Very Strong Monster"
514 "Hihihih I'm Very Strong Monster"
515 "Hihihih I'm Very Strong Monster"
516 "Hihihih I'm Very Strong Monster"
517 "Hihihih I'm Very Strong Monster"
518 "Hihihih I'm Very Strong Monster"
520 "Hihihih I'm Very Strong Monster"
521 "Hihihih I'm Very Strong Monster"
522 "Hihihih I'm Very Strong Monster"
523 "Hihihih I'm Very Strong Monster"
524 "Hihihih I'm Very Strong Monster"
525 "Hihihih I'm Very Strong Monster"
526 "Hihihih I'm Very Strong Monster"
527 "Hihihih I'm Very Strong Monster"
528 "Hihihih I'm Very Strong Monster"
529 "Hihihih I'm Very Strong Monster"
530 "Hihihih I'm Very Strong Monster"
531 "Hihihih I'm Very Strong Monster"
532 "Hihihih I'm Very Strong Monster"
533 "Hihihih I'm Very Strong Monster"
534 "Are You crazy !! You attack me"
535 "Are You crazy !! You attack me"
536 "Are You crazy !! You attack me"
537 "Are You crazy !! You attack me"
538 "Are You crazy !! You attack me"
539 "Are You crazy !! You attack me"
540 "Are You crazy !! You attack me"
541 "Are You crazy !! You attack me"
542 "Are You crazy !! You attack me"
543 "I'm Golden Moster You Are Dead"
544 "Are You crazy !! You attack me"
545 "Are You crazy !! You attack me"
546 "Are You crazy !! You attack me"
547 "Are You crazy !! You attack me"
548 "Are You crazy !! You attack me"
549 "Are You crazy !! You attack me"
550 "Are You crazy !! You attack me"
551 "Are You crazy !! You attack me"
552 "Are You crazy !! You attack me"
553 "I'm Golden Moster You Are Dead"
554 "I'm Golden Moster You Are Dead"
555 "Are You crazy !! You attack me"
556 "Are You crazy !! You attack me"
557 "Are You crazy !! You attack me"
558 "Are You crazy !! You attack me"
559 "Are You crazy !! You attack me"
560 "Are You crazy !! You attack me"
561 "Are You crazy !! You attack me"
562 "Are You crazy !! You attack me"
563 "Next time we do not approach"
564 "Next time we do not approach"
565 "Next time we do not approach"
566 "Next time we do not approach"
567 "Next time we do not approach"
568 "Next time we do not approach"
569 "Next time we do not approach"
570 "Next time we do not approach"
571 "Next time we do not approach"
572 "Next time we do not approach"
573 "Next time we do not approach"
574 "Next time we do not approach"
575 "Next time we do not approach"
576 "Next time we do not approach"
577 "Next time we do not approach"
578 "I'm Golden Moster You Are Dead"
579 "I'm Golden Moster You Are Dead"
end 
